method,display_name,reward,ci_low,ci_high,task_collapse_count,n
baseline,Baseline,2.2246353978516707e-06,2.0996841935527755e-06,2.3514265109270126e-06,20,20
near_zero,Near-zero,2.17606851151686e-06,2.053808321420547e-06,2.3013711519581647e-06,20,20
far_zero,Far-zero,0.7393616884946823,0.7389015302062034,0.7398365476727485,0,20
far_cap,Far-cap,0.733071705698967,0.7325935684889555,0.7335626026988029,0,20
