distance_bin,relative_distance,relative_gradient_mean,relative_gradient_ci_low,relative_gradient_ci_high,relative_abs_advantage_mean,relative_abs_advantage_ci_low,relative_abs_advantage_ci_high,n_seeds,n_samples
-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
0,2.9137892130114733,2.933195868191154,2.7140352529192766,3.165516421637131,1.0000504948835744,1.00001813191017,1.000086035286226,9,92
1,3.112392249601773,3.219777199147548,2.84887569754362,3.700525409417022,1.00143665439097,1.0000139435228814,1.0042387782065945,10,91
2,3.316468050663297,3.518197370455932,3.1986161564651243,3.869677071571117,1.0000039007283767,0.9999749299732889,1.000037673175919,10,91
3,3.565560344204291,3.8473043825442415,3.5880644200899687,4.137819579546672,0.9999937275189112,0.9999440507824086,1.0000298124049911,10,92
4,3.89826335530075,3.920285981511927,3.595312194604952,4.379505853482279,1.0002240157412718,0.9999822681051348,1.0006587844112358,10,91
5,4.368698811503326,4.490929533420212,4.033661878888224,4.951543408077061,0.99998082807161,0.999945027261402,1.0000154918075044,10,91
6,5.750098832718523,6.712520268901524,5.579521309322212,7.986990733769176,0.9994471488469664,0.9983278878166488,1.0000241941490529,10,92
