alpha,seed,seed_ci_low,seed_ci_high,finite_mean_fixed_point,finite_mean_fixed_point_ci_low,finite_mean_fixed_point_ci_high,analytic_normalized_extrapolation_displacement,analytic_normalized_extrapolation_displacement_ci_low,analytic_normalized_extrapolation_displacement_ci_high,analytic_reward,analytic_reward_ci_low,analytic_reward_ci_high,analytic_sigma,analytic_sigma_ci_low,analytic_sigma_ci_high,finite_variance_fixed_point,finite_variance_fixed_point_ci_low,finite_variance_fixed_point_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,log_sigma_output_finite,log_sigma_output_finite_ci_low,log_sigma_output_finite_ci_high,sigma_output_finite,sigma_output_finite_ci_low,sigma_output_finite_ci_high,positive_gradient_norm,positive_gradient_norm_ci_low,positive_gradient_norm_ci_high,negative_gradient_norm,negative_gradient_norm_ci_low,negative_gradient_norm_ci_high,total_gradient_norm,total_gradient_norm_ci_low,total_gradient_norm_ci_high,normalized_field_residual,normalized_field_residual_ci_low,normalized_field_residual_ci_high,negative_raw_distance_mean,negative_raw_distance_mean_ci_low,negative_raw_distance_mean_ci_high,negative_standardized_distance_mean,negative_standardized_distance_mean_ci_low,negative_standardized_distance_mean_ci_high,dynamic_near_occupancy,dynamic_near_occupancy_ci_low,dynamic_near_occupancy_ci_high,dynamic_far_occupancy,dynamic_far_occupancy_ci_low,dynamic_far_occupancy_ci_high,local_negative_raw_distance,local_negative_raw_distance_ci_low,local_negative_raw_distance_ci_high,local_negative_standardized_distance,local_negative_standardized_distance_ci_low,local_negative_standardized_distance_ci_high,farthest_negative_raw_distance,farthest_negative_raw_distance_ci_low,farthest_negative_raw_distance_ci_high,farthest_negative_standardized_distance,farthest_negative_standardized_distance_ci_low,farthest_negative_standardized_distance_ci_high,stationary_audit_attempted,stationary_audit_attempted_ci_low,stationary_audit_attempted_ci_high,stationary_audit_1_succeeded,stationary_audit_1_succeeded_ci_low,stationary_audit_1_succeeded_ci_high,stationary_audit_2_succeeded,stationary_audit_2_succeeded_ci_low,stationary_audit_2_succeeded_ci_high,stationary_audit_succeeded,stationary_audit_succeeded_ci_low,stationary_audit_succeeded_ci_high,stationary_audit_1_residual,stationary_audit_1_residual_ci_low,stationary_audit_1_residual_ci_high,stationary_audit_2_residual,stationary_audit_2_residual_ci_low,stationary_audit_2_residual_ci_high,unexpected_support_expansion,unexpected_support_expansion_ci_low,unexpected_support_expansion_ci_high,normalized_extrapolation_displacement_window_slope,normalized_extrapolation_displacement_window_slope_ci_low,normalized_extrapolation_displacement_window_slope_ci_high,log_sigma_window_slope,log_sigma_window_slope_ci_low,log_sigma_window_slope_ci_high,support_boundary_onset_event_rate,n,support_boundary_onset,support_boundary_onset_ci_low,support_boundary_onset_ci_high
0.0,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.6469051754643524,0.6469051754643524,0.6469051754643524,0.1903943276465978,0.1903943276465978,0.1903943276465978,1.0,1.0,1.0,0.6469966322183609,0.6462039481103421,0.6477272780239582,0.000766683736583218,-0.0006419340919819659,0.0020717194735698284,0.02524178018793464,0.02470733772730455,0.025718859860207888,0.6998360365629196,0.6989271997660399,0.7008219075202942,0.19116314500570297,0.19098208107054232,0.19135325398296119,0.16814876198768616,0.16542542409151792,0.17068414889276026,0.20706188157200814,0.2057333362288773,0.20853013252839445,-1.7835894227027893,-1.8001394712924956,-1.7682284155488015,-1.5748539507389068,-1.581232685893774,-1.5677867783606052,1.0,1.0,1.0,1.0,1.0,1.0,0.07851904686540365,0.06509394485037774,0.09354688149876893,0.0,0.0,0.0,0.07851904686540365,0.06509394485037774,0.09354688149876893,0.9999999999848693,0.9999999999819684,0.9999999999876569,1.3040790915489198,1.3038000971078871,1.3043645563721655,6.8225895166397095,6.816297252178192,6.828759353160859,0.374639892578125,0.37457733154296874,0.3746978759765625,0.625360107421875,0.6253021240234375,0.6254226684570312,0.5008127927780152,0.49986465498805044,0.5017319764569401,2.6201251983642577,2.6143226253986356,2.625493730902672,1.8995314359664917,1.8986079877614976,1.9004786756634713,9.93783106803894,9.927599436044693,9.947850624322891,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07336889402940869,0.05938668767921627,0.08857022554147989,0.07851904686540365,0.06509394485037774,0.09354688149876893,0.0,0.0,0.0,4.863945165561746e-06,-1.5600834881843181e-06,1.0839651924507053e-05,-3.2075194527942916e-06,-7.192082305803729e-06,8.77133587278525e-07,0.0,20,,,
0.1,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.0448279967691303,0.0448279967691303,0.0448279967691303,0.6720781437748127,0.6720781437748127,0.6720781437748127,0.17374631456328501,0.17374631456328501,0.17374631456328501,1.0,1.0,1.0,0.6716500788927078,0.6710941514372826,0.6721784371137619,0.04474100787192583,0.04373950866982341,0.04568812895566225,0.03967414330691099,0.03902785620652139,0.04027238644659519,0.669072026014328,0.6684119343012571,0.6697689329832792,0.1746276468038559,0.17447962876409293,0.17479403188452125,0.15106717348098755,0.14839642481878398,0.15359891805797815,0.19109720438718797,0.1897723459266126,0.19256622543558477,-1.8908748507499695,-1.909024324119091,-1.873806153088808,-1.655107855796814,-1.6619979402422904,-1.6474538771808147,1.0,1.0,1.0,1.0,1.0,1.0,0.7119655728340148,0.6886438820511103,0.7356887590140104,0.6975937843322754,0.6876422733068466,0.7081545542180538,0.07972910432145,0.06304676876403391,0.09765126238809899,0.05630125767218459,0.0448504909108853,0.06839833782339953,1.294991397857666,1.2948049204051495,1.2951888997852803,7.416868376731872,7.410296073555947,7.422507399916649,0.27610626220703127,0.2729597854614258,0.2794404220581055,0.7238937377929687,0.7205595779418945,0.7270402145385743,0.5316067188978195,0.5309232295304537,0.532256995588541,3.0447297930717467,3.0399090296030042,3.0494792929291727,1.8687252044677733,1.8680751129984856,1.869407295435667,10.702825689315796,10.692960113286972,10.711393513679505,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05816533343508227,0.04476193242228865,0.07326366054908746,0.05630125767218459,0.0448504909108853,0.06839833782339953,0.0,0.0,0.0,3.5679329186677736e-06,-1.4903800236061412e-06,8.1277401698753e-06,-2.7223625087950433e-06,-5.499248190479785e-06,1.4781690581886262e-07,0.0,20,,,
0.2,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.09565950725317532,0.09565950725317532,0.09565950725317532,0.7003247295660392,0.7003247295660392,0.7003247295660392,0.14873592235385683,0.14873592235385683,0.14873592235385683,1.0,1.0,1.0,0.6993993848562241,0.6988538567721844,0.6999632540345192,0.094778136536479,0.09378928909078241,0.09580423981882633,0.07063474506139755,0.06994661740027368,0.07135145743377506,0.6340846240520477,0.6333660246431828,0.634774522036314,0.149870515614748,0.1497471098229289,0.14999090537428855,0.12732936069369316,0.12497004456818103,0.1296086099371314,0.16650772839784622,0.1651900258474052,0.1679430144652724,-2.0619107365608214,-2.080796762108803,-2.0437261864542964,-1.7928822875022887,-1.8007694679498674,-1.7843469361960889,1.0,1.0,1.0,1.0,1.0,1.0,2.1815339803695677,2.1401907154917716,2.224095929563046,2.1659353613853454,2.134914638698101,2.198011003136635,0.11529051717370749,0.09595138691365718,0.13611726640723645,0.026410937792456686,0.02215782502796851,0.03092735669750207,1.2851657092571258,1.28496557533741,1.2853541228175163,8.577459287643432,8.570444226264954,8.584299902915955,0.12503814697265625,0.1250213623046875,0.12505645751953126,0.8749618530273438,0.8749435424804688,0.8749786376953125,0.5667027771472931,0.5660107167065144,0.5674373522400856,3.7823768258094788,3.776953983008861,3.788189649283886,1.833637297153473,1.8329001753032208,1.8343287952244283,12.238023948669433,12.227324135303498,12.24871794462204,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027115497056655048,0.021644196636554567,0.032828956626248136,0.026410937792456686,0.02215782502796851,0.03092735669750207,0.0,0.0,0.0,6.668470799922898e-06,1.264715390279851e-06,1.2081829765811508e-05,-6.763608620831481e-06,-9.851480340767247e-06,-4.117718083278863e-06,0.0,20,,,
0.3,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.15378709959839737,0.15378709959839737,0.15378709959839737,0.7320613194255988,0.7320613194255988,0.7320613194255988,0.10652505449044262,0.10652505449044262,0.10652505449044262,1.0,1.0,1.0,0.7307297259569168,0.7301812439411879,0.7312973891198635,0.15229738131165504,0.15126652477309108,0.153361851349473,0.10944953039288521,0.10872151716612279,0.11020660149864853,0.5938882619142533,0.5931496113538741,0.5946006199717522,0.10830593332648278,0.1082001261599362,0.10842938677407801,0.0887482538819313,0.0867819840926677,0.09069793744944035,0.12403188012540341,0.12274413277395069,0.1253381334338337,-2.4232794880867004,-2.4459619906544683,-2.4011197617650035,-2.0874975681304933,-2.09787899017334,-2.077029330432415,1.0,1.0,1.0,1.0,1.0,1.0,7.554273676872254,7.4423199617862705,7.672279101014137,7.523630166053772,7.418716157078743,7.63259030342102,0.23270518593490125,0.1900869357213378,0.2786746405251324,0.015378921224543204,0.01262646791785026,0.01832797963354373,1.274568897485733,1.2743665227293968,1.2747605974972247,11.775511264801025,11.76290533542633,11.786327379941941,0.00100250244140625,0.00083160400390625,0.00120086669921875,0.9989974975585938,0.9987991333007813,0.9991683959960938,0.6070289641618729,0.6062717939913272,0.6078238916397094,5.608490657806397,5.598355335593224,5.618624644875527,1.79334157705307,1.7925435623526573,1.7940930540859699,16.5682092666626,16.550277488231657,16.584126806259153,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015829219079404686,0.012175307536230187,0.019603704262442085,0.015378921224543204,0.01262646791785026,0.01832797963354373,0.0,0.0,0.0,8.537060767412108e-06,2.891760822385464e-06,1.4424416404217417e-05,-3.800128684985922e-05,-4.106010873961287e-05,-3.516460796031623e-05,0.0,20,,,
0.35,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.18609609108693048,0.18609609108693048,0.18609609108693048,0.7493648962335697,0.7493648962335697,0.7493648962335697,0.0681379532902136,0.0681379532902136,0.0681379532902136,1.0,1.0,1.0,0.7478544175624847,0.747279467061162,0.7484482947736979,0.18436286225914955,0.18327261358499528,0.1854900186881423,0.13151540085673333,0.1307381326891482,0.13233659107238055,0.5714937955141067,0.5707117728143931,0.5722518275678158,0.07109045386314392,0.070955164488405,0.07122725011780857,0.05524735189974308,0.053842891780659555,0.05661057898309082,0.08525765053927899,0.08409367861226201,0.08652269715443253,-2.897578227519989,-2.92355798304081,-2.8726708039641378,-2.4626087665557863,-2.476119277775288,-2.4480823305249215,1.0,1.0,1.0,1.0,1.0,1.0,23.846463871002197,23.52909469366074,24.16648957490921,23.770506381988525,23.43164515733719,24.110915236473083,0.581514647603035,0.4535328101739287,0.721362566202879,0.012159241305713619,0.009537979302957703,0.015014845159479382,1.26898792386055,1.26876818343997,1.2691858598589898,17.87530651092529,17.843154242038725,17.908393235206603,0.0,0.0,0.0,1.0,1.0,1.0,0.6294914513826371,0.6286822374910116,0.6303941831737757,8.86781210899353,8.84572527527809,8.889732590913773,1.7709071695804597,1.7700083389878274,1.771717848330736,24.94510736465454,24.900653252601625,24.991990821361544,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015598955391959443,0.011972481828425143,0.01958302139723473,0.012159241305713619,0.009537979302957703,0.015014845159479382,0.0,0.0,0.0,1.3684731721878003e-05,8.013866711407892e-06,1.948078814893958e-05,-0.00012374370225726788,-0.00013079844890954105,-0.00011605609414524808,0.0,20,,,
0.38,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.20666226947152394,0.20666226947152394,0.20666226947152394,0.760231697917547,0.760231697917547,0.760231697917547,0.01041326464172593,0.01041326464172593,0.01041326464172593,1.0,1.0,1.0,0.7590394407510758,0.7580429383367301,0.7599916298687458,0.20563834235072137,0.20371427968144415,0.2074723656848073,0.14630621671676636,0.14490137174725534,0.147642959728837,0.55665924847126,0.555384404733777,0.5579876571148634,0.02321139592677355,0.022838242622092365,0.023549565884750337,0.013977204170078038,0.01334730811067857,0.014593697016825901,0.03338843248784542,0.03241336220409721,0.03431542299222201,-4.275830197334289,-4.321583260893822,-4.2318191021680835,-3.401745021343231,-3.4318010425567627,-3.373711031675339,1.0,1.0,1.0,1.0,1.0,1.0,305.21415557861326,294.7041540908814,316.9705770874023,303.6072067260742,293.32879039764407,315.01088874816895,8.385524648427964,6.802122241109609,9.944165115952492,0.013900758094155733,0.011109257265487763,0.016541627270985605,1.2654116868972778,1.2650955864787103,1.2657353331148624,55.08958282470703,54.25286999702454,56.04525945186615,0.0,0.0,0.0,1.0,1.0,1.0,0.6444330394268036,0.6430651923269033,0.6457718406617641,28.0585693359375,27.624581093788144,28.544091675281525,1.7560043275356292,1.754672698378563,1.7573588116466998,76.44552459716797,75.28112785339356,77.76589096069335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018226907916539505,0.013715008028290676,0.02309560194055209,0.013900758094155733,0.011109257265487763,0.016541627270985605,0.0,0.0,0.0,1.8619426339864656e-05,9.855091106146498e-06,2.7514009252190524e-05,-0.0012447250287976976,-0.0012918569643320592,-0.0012006519291889947,0.0,20,,,
0.4,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.2209030871624868,0.2209030871624868,0.2209030871624868,0.7676827342740056,0.7676827342740056,0.7676827342740056,,,,0.0,0.0,0.0,0.7564286142587662,0.7480283609032631,0.7644263911247253,0.2038203477859497,0.18820642264559867,0.21946053577587007,0.15130362026393412,0.1417503755632788,0.16212625802494587,0.559489980340004,0.5488268458098173,0.5705420235544443,0.0020030785162816755,0.0005870723048064974,0.004316230805452507,0.00027486731226815663,3.957885552239304e-06,0.0007649966503504402,0.0049752237042412165,0.002306779902864946,0.00902586962125497,-11.858672285079956,-12.575237312316894,-10.850781643390656,-5.846744501590729,-6.19496915280819,-5.446800191104412,1.0,1.0,1.0,1.0,1.0,1.0,25685385.495767213,19648753.27974838,31424262.63022583,25067009.250979614,19416840.843784943,30599260.391555253,7024807.09403572,4561505.34861971,9719320.840428086,0.1341462518521312,0.08729330086824551,0.19024980913229758,1.2664896190166473,1.2639231561124327,1.26922440007329,4594.778280258179,3669.451539430618,5487.1386528682715,0.0,0.0,0.0,1.0,1.0,1.0,0.6443462044000625,0.63350342489779,0.6553533279895782,2337.0193088531496,1878.1938281059265,2787.611969690323,1.7578966677188874,1.7470296941697598,1.7689249609410764,6378.17582244873,5082.378725395202,7621.273880004883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,-2.1240708277623255e-05,-6.426298713555502e-05,1.4073969116980145e-05,-0.0044233142585110834,-0.005759770854987794,-0.0032826362785804823,0.9,20,994.3888888888889,516.3305555555556,1529.1736111111113
0.5,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.29926701129114525,0.29926701129114525,0.29926701129114525,0.8074538183163913,0.8074538183163913,0.8074538183163913,,,,0.0,0.0,0.0,0.7738757312297821,0.7628077462315559,0.7834365519881249,0.2429382625967264,0.2211060531809926,0.2618512247502804,0.18554332107305527,0.17214520258828997,0.19784248668700455,0.5348742723464965,0.5218063174188138,0.5498147835209966,0.0010954514291370288,0.0009434760153089883,0.0012576114990952194,5.7173517575392905e-06,4.703545871791448e-06,6.846794661896638e-06,0.005017215211410075,0.004305329672351945,0.005801177397370338,-12.165773725509643,-12.35787212252617,-11.972761266231538,-5.356679224967957,-5.514567451477051,-5.201177093982697,1.0,1.0,1.0,1.0,1.0,1.0,32244990.95,26748859.4375,37928201.15625,34179491.25,28493596.00375,40021739.84375,8815307.01875,6580465.93109375,11438681.07171875,0.1370876679642145,0.10748854955330993,0.16968027618485634,1.2613079249858856,1.258224234133959,1.2649231101572513,3598.32548828125,3134.3266827392576,4074.885215454102,0.0,0.0,0.0,1.0,1.0,1.0,0.6735159039497376,0.6580965980142356,0.6871407416462899,1949.180596923828,1703.8288102722167,2202.9825286865234,1.7314166963100432,1.7179680143296718,1.7469107161462307,4922.892724609375,4283.490285949707,5579.350877075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,-0.0009794494787742926,-0.0009794494787742926,-0.0009794494787742926,-0.002322244018773337,-0.002322244018773337,-0.002322244018773337,1.0,20,89.2,81.95,101.95
