alpha,seed,seed_ci_low,seed_ci_high,finite_mean_fixed_point,finite_mean_fixed_point_ci_low,finite_mean_fixed_point_ci_high,analytic_normalized_extrapolation_displacement,analytic_normalized_extrapolation_displacement_ci_low,analytic_normalized_extrapolation_displacement_ci_high,analytic_reward,analytic_reward_ci_low,analytic_reward_ci_high,analytic_sigma,analytic_sigma_ci_low,analytic_sigma_ci_high,finite_variance_fixed_point,finite_variance_fixed_point_ci_low,finite_variance_fixed_point_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,log_sigma_output_finite,log_sigma_output_finite_ci_low,log_sigma_output_finite_ci_high,sigma_output_finite,sigma_output_finite_ci_low,sigma_output_finite_ci_high,positive_gradient_norm,positive_gradient_norm_ci_low,positive_gradient_norm_ci_high,negative_gradient_norm,negative_gradient_norm_ci_low,negative_gradient_norm_ci_high,total_gradient_norm,total_gradient_norm_ci_low,total_gradient_norm_ci_high,normalized_field_residual,normalized_field_residual_ci_low,normalized_field_residual_ci_high,negative_raw_distance_mean,negative_raw_distance_mean_ci_low,negative_raw_distance_mean_ci_high,negative_standardized_distance_mean,negative_standardized_distance_mean_ci_low,negative_standardized_distance_mean_ci_high,dynamic_near_occupancy,dynamic_near_occupancy_ci_low,dynamic_near_occupancy_ci_high,dynamic_far_occupancy,dynamic_far_occupancy_ci_low,dynamic_far_occupancy_ci_high,local_negative_raw_distance,local_negative_raw_distance_ci_low,local_negative_raw_distance_ci_high,local_negative_standardized_distance,local_negative_standardized_distance_ci_low,local_negative_standardized_distance_ci_high,farthest_negative_raw_distance,farthest_negative_raw_distance_ci_low,farthest_negative_raw_distance_ci_high,farthest_negative_standardized_distance,farthest_negative_standardized_distance_ci_low,farthest_negative_standardized_distance_ci_high,stationary_audit_attempted,stationary_audit_attempted_ci_low,stationary_audit_attempted_ci_high,stationary_audit_1_succeeded,stationary_audit_1_succeeded_ci_low,stationary_audit_1_succeeded_ci_high,stationary_audit_2_succeeded,stationary_audit_2_succeeded_ci_low,stationary_audit_2_succeeded_ci_high,stationary_audit_succeeded,stationary_audit_succeeded_ci_low,stationary_audit_succeeded_ci_high,stationary_audit_1_residual,stationary_audit_1_residual_ci_low,stationary_audit_1_residual_ci_high,stationary_audit_2_residual,stationary_audit_2_residual_ci_low,stationary_audit_2_residual_ci_high,unexpected_support_expansion,unexpected_support_expansion_ci_low,unexpected_support_expansion_ci_high,normalized_extrapolation_displacement_window_slope,normalized_extrapolation_displacement_window_slope_ci_low,normalized_extrapolation_displacement_window_slope_ci_high,log_sigma_window_slope,log_sigma_window_slope_ci_low,log_sigma_window_slope_ci_high,support_boundary_onset_event_rate,n
0.0,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.6469051754643524,0.6469051754643524,0.6469051754643524,0.1903943276465978,0.1903943276465978,0.1903943276465978,1.0,1.0,1.0,0.646987646818161,0.6462277765572071,0.6477266415953636,0.0007491734446375631,-0.0006008656818448798,0.0020643876884423665,0.025179213751107453,0.024643375438172372,0.02566566364374012,0.6998473227024078,0.6989277802407741,0.7007935716211796,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.0769062789157033,0.06406306046061218,0.09116813952103257,0.0,0.0,0.0,0.0769062789157033,0.06406306046061218,0.09116813952103257,0.9999999999847535,0.9999999999820035,0.9999999999873824,1.3040798008441925,1.3038055071234704,1.3043581719696522,6.849362230300903,6.847921668887138,6.850824374556542,0.374871826171875,0.37484588623046877,0.374896240234375,0.625128173828125,0.625103759765625,0.6251541137695312,0.5008048564195633,0.4998788136616349,0.501713950522244,2.6303557395935058,2.6254919001460073,2.6351304948329926,1.8995367527008056,1.898624941557646,1.9004633149504662,9.976854944229126,9.972065993547439,9.98172157406807,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273331405594945,0.05790720195975155,0.08885943624656648,0.0769062789157033,0.06406306046061218,0.09116813952103257,0.0,0.0,0.0,4.505096793218399e-06,-2.0550077044026695e-06,1.0720567748194299e-05,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
0.25,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.12371651538163982,0.12371651538163982,0.12371651538163982,0.7157307428469561,0.7157307428469561,0.7157307428469561,0.13087516112761163,0.13087516112761163,0.13087516112761163,1.0,1.0,1.0,0.7144076138734817,0.713818047195673,0.7150065824389458,0.12217313535511494,0.12107018808834255,0.12327712088823319,0.08894275464117526,0.088185477508232,0.08968876944854855,0.6149384021759033,0.6141700281947852,0.6156982413679362,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,1.4175856828689575,1.3886543540656566,1.447345716804266,1.4123252928256989,1.392145313769579,1.4342755676805974,0.05084288502112031,0.04172809444833547,0.06053839360596613,0.01793397572749175,0.014781758762437794,0.021237545782977502,1.2800264716148377,1.2798497781157494,1.2802070257067681,6.723027992248535,6.722099871635437,6.723976277709007,0.37455291748046876,0.37449798583984373,0.3746124267578125,0.6254470825195313,0.6253875732421875,0.6255020141601563,0.5859081327915192,0.585218762755394,0.5865814550966024,3.0773401141166685,3.0737193199992183,3.0808766251802444,1.8144437611103057,1.813774918615818,1.8151301321387292,9.52992491722107,9.52641221165657,9.533529945611953,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021371102232554638,0.01663553841952013,0.026207528552358937,0.01793397572749175,0.014781758762437794,0.021237545782977502,0.0,0.0,0.0,8.453009650111133e-06,4.1846026759594e-06,1.3355964543297829e-05,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
0.5,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.29926701129114525,0.29926701129114525,0.29926701129114525,0.8074538183163913,0.8074538183163913,0.8074538183163913,,,,0.0,0.0,0.0,0.8040281385183334,0.8033224827051163,0.8047561453282833,0.29421235620975494,0.29276317756623027,0.2957071406766772,0.20803981721401216,0.20700452826917173,0.20908834870904683,0.4949345916509628,0.49389936815947294,0.4959377171471715,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,3.426843321323395,3.3751997292041778,3.4854984900355337,3.430704641342163,3.3829894664883615,3.4825309401750566,0.04563838951289654,0.036747538920026274,0.054985356417018925,0.006662165320483082,0.0053643624167158295,0.008027779961617415,1.2515822291374206,1.2513856346905232,1.2517814221978187,6.5736312627792355,6.572598750591278,6.574677416682243,0.3565216064453125,0.35539703369140624,0.35772857666015623,0.6434783935546875,0.6422714233398438,0.6446029663085937,0.7065739840269089,0.7056296404451132,0.7075203525274992,3.711108112335205,3.7061482033133504,3.716078668236732,1.6940104603767394,1.6930649662017823,1.6949577611684798,8.8973783493042,8.892412476539612,8.902353899478912,1.0,1.0,1.0,0.05,0.0,0.15,0.05,0.0,0.15,0.0,0.0,0.0,0.007073294709412899,0.005885442547149576,0.008328261967885928,0.006662165320483082,0.0053643624167158295,0.008027779961617415,0.0,0.0,0.0,2.5522404909133773e-05,2.0622283108532325e-05,3.0536881014704584e-05,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
0.75,59.5,56.95,61.95125000000001,1.0,1.0,1.0,0.567859686860304,0.567859686860304,0.567859686860304,0.9218821060593875,0.9218821060593875,0.9218821060593875,,,,0.0,0.0,0.0,0.9153103202581405,0.9149066561460495,0.9157035192102193,0.5563146203756333,0.5553442222625017,0.5573057300597429,0.39197939485311506,0.391356064081192,0.3926426541432738,0.3138569504022598,0.31310314901173114,0.31462042935192586,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,6.579273271560669,6.479089020490646,6.681903153657913,6.591185760498047,6.49051239311695,6.694306638836861,0.04984110775403679,0.03995031631086021,0.05990556792938151,0.003775474865106759,0.003026156605641414,0.004532381835742501,1.2206782937049865,1.2205820794403552,1.2207832418382167,6.411316180229187,6.410811049938202,6.411867374181748,0.13670654296875,0.1356627655029297,0.13774566650390624,0.86329345703125,0.8622543334960937,0.8643372344970702,0.8908229649066925,0.8901685659587383,0.8914285297691822,4.678831076622009,4.6753942865133284,4.6820116150379185,1.510633683204651,1.5099866344034671,1.5113425736129285,7.934236145019531,7.93083770096302,7.937959528565407,1.0,1.0,1.0,0.1,0.0,0.25,0.25,0.1,0.45,0.05,0.0,0.15,0.004056135487774283,0.0034053381097259635,0.004710155596030922,0.003775474865106759,0.003026156605641414,0.004532381835742501,0.0,0.0,0.0,6.152803003787973e-05,5.532692939043033e-05,6.819197788834549e-05,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
1.0,59.5,56.95,61.95125000000001,1.0,1.0,1.0,1.030132615132017,1.030132615132017,1.030132615132017,0.999604604853805,0.999604604853805,0.999604604853805,,,,0.0,0.0,0.0,0.9917025655508042,0.9913634833693504,0.9920352759957314,1.0078075170516967,1.006195628643036,1.0093944047391414,0.7100848436355591,0.7090275380760431,0.7111248770356178,0.0774408794939518,0.07571473027579487,0.07923224203288555,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,12.333416271209718,12.121703406572342,12.54041942834854,12.345527744293213,12.134081836938858,12.552224271297455,0.04788562087342143,0.0399276940850541,0.05599424568470568,0.001958521372706262,0.0016119977107543208,0.0023086093741421523,1.2017600536346436,1.2016820107400417,1.2018398004770279,6.311952614784241,6.311542732715607,6.312371496558189,0.002545166015625,0.0023024749755859377,0.002777099609375,0.997454833984375,0.997222900390625,0.997697525024414,1.2085934400558471,1.2075127810239792,1.209655036330223,6.347843289375305,6.342167262434959,6.353418988585472,1.1962861716747284,1.1950961531698703,1.1974776381254195,6.283202314376831,6.276952021121979,6.289460135698318,1.0,1.0,1.0,0.35,0.15,0.55,0.5,0.3,0.7,0.15,0.0,0.35,0.0029873690277522776,0.0024498744203357535,0.003571694273932157,0.001958521372706262,0.0016119977107543208,0.0023086093741421523,0.0,0.0,0.0,0.0001520826697349544,0.00014170001208782141,0.00016319365806877561,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
1.25,59.5,56.95,61.95125000000001,1.0,1.0,1.0,2.0136970058764936,2.0136970058764936,2.0136970058764936,0.639180185920782,0.639180185920782,0.639180185920782,,,,0.0,0.0,0.0,0.6500721573829651,0.6484289469569922,0.6516991481930017,1.9634895861148833,1.9602013917267322,1.9668577168881893,1.3853567361831665,1.3831843602657319,1.387551179677248,0.6958372741937637,0.6937622504681349,0.6979246304929256,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,26.95443935394287,26.423326749801635,27.491248075962066,26.96564416885376,26.43928795337677,27.503111164569855,0.06756432540714741,0.05647527176886797,0.0794790758099407,0.0012494058054305626,0.0010500346253089032,0.0014611286512384363,1.3056363403797149,1.3051681688427925,1.306084295809269,6.8575375318527225,6.855078764557839,6.859890285134315,0.30705108642578127,0.3055938339233399,0.30844593048095703,0.6929489135742187,0.691554069519043,0.6944061660766602,1.8830764830112456,1.8812930895388127,1.884760985672474,9.890401697158813,9.881035012006759,9.89924902677536,0.5499122470617295,0.547345944866538,0.5525895615667105,2.88828045129776,2.874801522195339,2.902342374920845,1.0,1.0,1.0,0.4,0.2,0.6,0.9,0.75,1.0,0.4,0.2,0.6,0.0021817394342297245,0.0019905888093813663,0.0023887707381992514,0.0012494058054305626,0.0010500346253089032,0.0014611286512384363,0.0,0.0,0.0,0.00040204154253005886,0.0003764623837172975,0.00042673538520932155,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
1.5,59.5,56.95,61.95125000000001,1.0,1.0,1.0,5.540190759456268,5.540190759456268,5.540190759456268,0.00012612320280423544,0.00012612320280423544,0.00012612320280423544,,,,0.0,0.0,0.0,0.0005368456302676349,0.0004991681680257897,0.0005755832277645822,5.325675511360169,5.314952371120453,5.336685001850128,3.765064740180969,3.757610433101654,3.7728312107920647,3.0732072710990908,3.0657264298200606,3.080947047472,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,111.84567146301269,109.84546106338502,113.89961307525635,111.93150634765625,109.92750204086303,113.99088458061219,0.16689272411167622,0.1532985143456608,0.18262011442333462,0.0007460202294356386,0.0006864638247246536,0.0008120217292081106,3.192757749557495,3.186851454079151,3.1984912315011025,16.769183731079103,16.73816267967224,16.799297037124635,1.52587890625e-06,0.0,4.57763671875e-06,0.9999984741210938,0.9999954223632812,1.0,4.261162948608399,4.254902637600899,4.267232638001442,22.38072261810303,22.347841715812685,22.412602519989015,1.898852789402008,1.8926089218258857,1.9047806786000727,9.973262405395507,9.940468069314957,10.00439707517624,1.0,1.0,1.0,0.75,0.55,0.9,1.0,1.0,1.0,0.75,0.55,0.9,0.0018161887624792762,0.0017200128778004768,0.0019128094011708445,0.0007460202294356386,0.0006864638247246536,0.0008120217292081106,0.0,0.0,0.0,0.0033361765146255468,0.0032418374842405305,0.0034319274324178667,-4.41007593726923e-19,-4.41007593726923e-19,-4.41007593726923e-19,0.0,20
1.75,59.5,56.95,61.95125000000001,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,523331.290625,486695.46125000005,560077.705703125,557348.0484375,546318.5771484375,569223.3434375001,557347.665625,546318.19109375,569222.9530468751,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,82182844620.8,74852134538.23999,89411344343.04,84930170880.0,77354400430.08,92400311818.24,2747327558.4,2502266355.52,2988969601.44,0.016439942098803305,0.016439926790682163,0.016439956745905024,562670.021875,549724.315625,576467.58375,2955287.5375,2887293.3518749997,3027755.8512500003,0.0,0.0,0.0,1.0,1.0,1.0,562670.6640625,549724.9684765625,576468.2166796875,2955290.875,2887296.6765625,3027759.2753125,562669.3703125,549723.6472265625,576466.9382421876,2955284.1125,2887289.97625,3027752.4640625003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,298.41308906250134,275.9395335546886,320.70165976562646,-4.636914333940527e-19,-4.636914333940527e-19,-4.636914333940527e-19,0.0,20
