method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,log_sigma_output_finite,log_sigma_output_finite_ci_low,log_sigma_output_finite_ci_high,sigma_output_finite,sigma_output_finite_ci_low,sigma_output_finite_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,task_failure_onset,task_failure_onset_ci_low,task_failure_onset_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,nonfinite_onset_event_rate,n
uncontrolled_all,59.5,56.95,61.95125000000001,0.0,0.0,0.0,-496656.25,-526730.2391015625,-467881.69140625,564522.6890625,546045.2029296876,583665.116640625,564523.0625,546045.558203125,583665.488515625,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29092301532626147,0.2904655347727239,0.29138303730636833,100.0,100.0,100.0,1.0,1.0,1.0,4000.0,4000.0,4000.0,1.0,0.0,20
far_cap,59.5,56.95,61.95125000000001,0.9952240824699402,0.9950233598053455,0.9954160694777966,0.9111175149679184,0.9089390732347965,0.9132614362239837,0.6384022206068038,0.6368864087760449,0.6398895279318094,0.0685268834233284,0.06708545400761068,0.0700019928533584,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29092301532626147,0.2904655347727239,0.29138303730636833,,,,1.0,1.0,1.0,4000.0,4000.0,4000.0,0.0,0.0,20
budget_matched_global,59.5,56.95,61.95125000000001,0.502925130724907,0.5019936283677816,0.5039003237336873,-0.2559532217681408,-0.25765400851145387,-0.2541753895394504,0.18056356832385062,0.17933045737445352,0.18172996269538996,0.8794428080320358,0.8782026641070843,0.8806274449080228,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29092301532626147,0.2904655347727239,0.29138303730636833,,,,1.0,1.0,1.0,4000.0,4000.0,4000.0,0.0,0.0,20
