completed_steps,coverage_mode,experiment_id,far_lambda,final_concentration_max,final_concentration_mean,final_covered_correct_group_probability,final_covered_expected_reward,final_covered_top1_group_accuracy,final_effective_support_mean,final_effective_support_p05,final_entropy_mean,final_expected_reward,final_gap_correct_group_probability,final_gap_expected_reward,final_gap_hidden_optimal_probability,final_gap_proxy_group_probability,final_gap_random_policy_reward,final_gap_top1_group_accuracy,final_gap_trap_group_probability,final_hidden_optimal_probability,final_paired_group_distribution_l1,final_random_policy_reward,gap_reward_margin_over_random_normalized,local_alpha,method,nan_inf_numerical_failure,paired_positive_only_gap_reward,run_key,scientific_status,seed,support_or_temperature_boundary,task_collapse_reference_missing,task_performance_collapse,terminal_class
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6549707651138306,0.732001006603241,0.9541015625,50.37881088256836,48.343482971191406,3.9149138927459717,0.732137143611908,0.6545134782791138,0.7322733402252197,0.05768875405192375,0.15283147990703583,0.19078126549720764,0.95556640625,0.1686975210905075,0.0576963946223259,0.026248471811413765,0.19078125059604645,1.0,0.0,positive_only,False,0.7322733402252197,optimal_group_covered__positive_only__a0__f0,not_run,130,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.40543118119239807,0.3870463967323303,0.21923828125,65.10791015625,56.54362869262695,4.173933029174805,0.38859349489212036,0.40787628293037415,0.3901405930519104,0.01667209342122078,0.013998429290950298,0.19078126549720764,0.21484375,0.5499595403671265,0.016637079417705536,0.048112936317920685,0.19078125059604645,0.3681666581266949,0.5,local_only,False,0.7322733402252197,optimal_group_covered__local_only__a0.5__f0,not_run,130,False,False,False,formal_terminal_plateau
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.04963908717036247,0.047135498374700546,0.01220703125,62.392913818359375,57.591285705566406,4.1321306228637695,0.04792897030711174,0.05083118751645088,0.04872243478894234,0.0013015373842790723,0.003544321283698082,0.19078126549720764,0.0146484375,0.7010865211486816,0.0012862427392974496,0.043007321655750275,0.19078125059604645,-0.2623470173217596,1.5,local_only,False,0.7322733402252197,optimal_group_covered__local_only__a1.5__f0,not_run,130,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.640034019947052,0.7317696809768677,0.9384765625,51.01524353027344,48.372589111328125,3.926872730255127,0.6530793309211731,0.17983947694301605,0.5743888020515442,0.016410300508141518,0.6323462128639221,0.19078126549720764,0.04345703125,0.012910086661577225,0.03659304976463318,1.2517483234405518,0.19078125059604645,1.0,0.0,positive_only,False,0.5743888020515442,structured_gap__positive_only__a0__f0,not_run,130,False,False,False,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.42701807618141174,0.4112430512905121,0.33203125,62.39244079589844,53.916133880615234,4.130463600158691,0.5900521278381348,0.5958177447319031,0.7688612937927246,0.02944219298660755,0.3365239202976227,0.19078126549720764,0.7978515625,0.046569421887397766,0.023971660062670708,1.1300888061523438,0.19078125059604645,1.506956910930331,0.5,local_only,False,0.5743888020515442,structured_gap__local_only__a0.5__f0,not_run,130,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.055160894989967346,0.05270319804549217,0.0107421875,60.72789001464844,57.25106430053711,4.1049346923828125,0.06650024652481079,0.08358365297317505,0.0802973061800003,0.0021659068297594786,0.005970390979200602,0.19078126549720764,0.01953125,0.7455377578735352,0.0018006726168096066,0.16407838463783264,0.19078125059604645,-0.28801300493103765,1.5,local_only,False,0.5743888020515442,structured_gap__local_only__a1.5__f0,not_run,130,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.16143998503684998,0.15028098225593567,0.0390625,59.42884826660156,56.46501159667969,4.083642482757568,0.16480837762355804,0.19208481907844543,0.1793357878923416,0.004380655940622091,0.0063964687287807465,0.19078126549720764,0.0517578125,0.7343754172325134,0.004030723124742508,0.08511985838413239,0.19078125059604645,-0.029836425289430722,0.5,uncontrolled,False,0.5743888020515442,structured_gap__uncontrolled__a0.5__f4,not_run,130,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.22161611914634705,0.2065497487783432,0.0634765625,61.51438903808594,56.96023941040039,4.117905616760254,0.2297554612159729,0.2702440917491913,0.2529611587524414,0.006376265082508326,0.009583000093698502,0.19078126549720764,0.08984375,0.675379753112793,0.005796025041490793,0.12376916408538818,0.19078125059604645,0.162092470376755,0.5,near_zero,False,0.5743888020515442,structured_gap__near_zero__a0.5__f4,not_run,130,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.20179830491542816,0.1885283887386322,0.04833984375,61.918434143066406,57.16294860839844,4.124197006225586,0.23320037126541138,0.2960824966430664,0.27787235379219055,0.007225511595606804,0.01121782697737217,0.19078126549720764,0.09130859375,0.6513606905937195,0.006068306043744087,0.22299908101558685,0.19078125059604645,0.22703174467649384,0.5,far_cap,False,0.5743888020515442,structured_gap__far_cap__a0.5__f4,not_run,130,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.21716631948947906,0.20263832807540894,0.046875,62.42217254638672,57.315277099609375,4.1323981285095215,0.24359048902988434,0.30400025844573975,0.28454262018203735,0.007422453723847866,0.010176734998822212,0.19078126549720764,0.08544921875,0.6435514092445374,0.006359649356454611,0.20225389301776886,0.19078125059604645,0.24442000156466887,0.5,budget_matched_global,False,0.5743888020515442,structured_gap__budget_matched_global__a0.5__f4,not_run,130,False,False,False,formal_persistent_drift_or_inconclusive
