method,n,task_performance_collapse_events,support_or_variance_boundary_events,nan_inf_numerical_events,reward_mean,reward_ci95_low,reward_ci95_high,reward_retention_mean,reward_retention_ci95_low,reward_retention_ci95_high,near_useful_gradient_retention_mean,near_useful_gradient_retention_ci95_low,near_useful_gradient_retention_ci95_high,far_harmful_influence_retention_mean,far_harmful_influence_retention_ci95_low,far_harmful_influence_retention_ci95_high,cumulative_realized_negative_gradient_norm_mean,cumulative_realized_negative_gradient_norm_ci95_low,cumulative_realized_negative_gradient_norm_ci95_high,cumulative_total_parameter_update_norm_mean,cumulative_total_parameter_update_norm_ci95_low,cumulative_total_parameter_update_norm_ci95_high,maximum_budget_relative_error_mean,maximum_budget_relative_error_ci95_low,maximum_budget_relative_error_ci95_high
exponential,20,0,0,0,0.7196413516998291,0.7189396817237138,0.7203265208750964,1.112773230449211,1.1102953203348038,1.1154604229735465,nan,nan,nan,0.0023000770300173083,0.0022474048758213657,0.0023540154978165784,10574002.420053195,10448072.270319182,10710028.456253571,35.719213867245706,35.46372583493474,36.00165302862355,1.8291452594378986e-16,1.7856499336704498e-16,1.8774816623295314e-16
global_stepwise_scale,20,0,0,0,0.624569907784462,0.6237684250622988,0.6253722195327283,0.9657604356732536,0.9638166693307547,0.9677586271975187,nan,nan,nan,0.06352487955518497,0.06242629189857092,0.06462916808148723,10574002.420053195,10448072.270319182,10710028.456253571,34.69404121976113,34.4811584784434,34.895917875323505,1.919557484911282e-16,1.878350053066671e-16,1.960224154071725e-16
positive_only,20,0,0,0,0.646857526898384,0.6461648081988096,0.6475352964550256,1.0002236429215055,0.9983154600112656,1.0021970056299556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65078125754371,34.21160611206346,35.12964738543989,0.0,0.0,0.0
reciprocal_linear,20,0,0,0,0.6314524501562119,0.630709956586361,0.6322384027391672,0.9764025836384433,0.9744372321697552,0.9783976741888466,nan,nan,nan,0.055866068890362594,0.05578771322394626,0.05593913094093299,10574002.420053195,10448072.270319182,10710028.456253571,33.85644935185555,33.54320824862865,34.185271277219584,0.0,0.0,0.0
reciprocal_quadratic,20,0,0,0,0.6474635601043701,0.64660593919456,0.6484196332097053,1.0011608654834667,0.9990214591200963,1.0034060017152187,nan,nan,nan,0.04333816447645651,0.04312248602698673,0.043579500852636045,10574002.420053195,10448072.270319182,10710028.456253571,34.83288406264037,34.539161099262714,35.15224451937771,1.8125536239658786e-16,1.788784837039149e-16,1.8350621254272282e-16
squared_distance_exponential,20,0,0,0,0.7620686501264572,0.7611843144893646,0.7629814252257346,1.1783693210128097,1.1763160362358742,1.1804025018436843,nan,nan,nan,9.282570925047756e-40,9.643290296916592e-42,2.7292778830351188e-39,10574002.420053195,10448072.270319182,10710028.456253571,41.13653543414548,40.84379443905636,41.41975425699085,1.8645145611830666e-16,1.8202525415584183e-16,1.911631940096869e-16
unweighted_boundary,20,13,20,0,0.25939831510186195,0.22694897411391138,0.2901339380815625,0.4010675584519786,0.3508008962037102,0.4510086228787388,nan,nan,nan,1.0,1.0,1.0,1.8305989560963834e+17,3.1544642977823068e+16,4.2478001501345043e+17,4.053496118541807,4.0049964679451655,4.1000695420079865,0.0,0.0,0.0
