seed,canonical_critic_seed,critic_test_r2,critic_test_pearson,critic_fixed_budget_completed,critic_optimization_terminal,critic_accepted_for_frozen_advantage,positive_fraction,matched_pairs,abs_advantage_far_near_ratio,standardized_distance_far_near_ratio,mean_output_score_far_near_ratio,raw_log_scale_output_score_far_near_ratio,corrected_q_xi_far_near_ratio,joint_output_score_far_near_ratio,log_scale_to_mean_far_near_ratio,full_parameter_gradient_far_near_ratio,mean_score_loglog_slope_vs_radius,corrected_q_xi_loglog_slope_vs_radius,analytic_autograd_relative_error_max,natural_far_field_present,global_scale,mechanism_subchecks_passed,terminal_audit_records_complete,terminal_state_classification_complete,rollout_available_for_all_methods,positive_only_fixed_budget_completed,positive_only_terminal_state,positive_only_terminal_audit_complete,positive_only_task_performance_status,positive_only_task_performance_collapse,positive_only_normalized_return_available,positive_only_support_boundary_event,positive_only_nan_inf_event,positive_only_normalized_return,positive_only_positive_nll,positive_only_mean_boundary_fraction,positive_only_sigma_mean,positive_only_phantom_joint_output_score_mean,positive_only_phantom_log_scale_to_mean_ratio,signed_fixed_budget_completed,signed_terminal_state,signed_terminal_audit_complete,signed_task_performance_status,signed_task_performance_collapse,signed_normalized_return_available,signed_support_boundary_event,signed_nan_inf_event,signed_normalized_return,signed_positive_nll,signed_mean_boundary_fraction,signed_sigma_mean,signed_phantom_joint_output_score_mean,signed_phantom_log_scale_to_mean_ratio,near_zero_fixed_budget_completed,near_zero_terminal_state,near_zero_terminal_audit_complete,near_zero_task_performance_status,near_zero_task_performance_collapse,near_zero_normalized_return_available,near_zero_support_boundary_event,near_zero_nan_inf_event,near_zero_normalized_return,near_zero_positive_nll,near_zero_mean_boundary_fraction,near_zero_sigma_mean,near_zero_phantom_joint_output_score_mean,near_zero_phantom_log_scale_to_mean_ratio,far_zero_fixed_budget_completed,far_zero_terminal_state,far_zero_terminal_audit_complete,far_zero_task_performance_status,far_zero_task_performance_collapse,far_zero_normalized_return_available,far_zero_support_boundary_event,far_zero_nan_inf_event,far_zero_normalized_return,far_zero_positive_nll,far_zero_mean_boundary_fraction,far_zero_sigma_mean,far_zero_phantom_joint_output_score_mean,far_zero_phantom_log_scale_to_mean_ratio,far_cap_fixed_budget_completed,far_cap_terminal_state,far_cap_terminal_audit_complete,far_cap_task_performance_status,far_cap_task_performance_collapse,far_cap_normalized_return_available,far_cap_support_boundary_event,far_cap_nan_inf_event,far_cap_normalized_return,far_cap_positive_nll,far_cap_mean_boundary_fraction,far_cap_sigma_mean,far_cap_phantom_joint_output_score_mean,far_cap_phantom_log_scale_to_mean_ratio,dynamic_budget_matched_global_fixed_budget_completed,dynamic_budget_matched_global_terminal_state,dynamic_budget_matched_global_terminal_audit_complete,dynamic_budget_matched_global_task_performance_status,dynamic_budget_matched_global_task_performance_collapse,dynamic_budget_matched_global_normalized_return_available,dynamic_budget_matched_global_support_boundary_event,dynamic_budget_matched_global_nan_inf_event,dynamic_budget_matched_global_normalized_return,dynamic_budget_matched_global_positive_nll,dynamic_budget_matched_global_mean_boundary_fraction,dynamic_budget_matched_global_sigma_mean,dynamic_budget_matched_global_phantom_joint_output_score_mean,dynamic_budget_matched_global_phantom_log_scale_to_mean_ratio
100,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0000128746032715,3.7212822437286377,3.750396251678467,6.201554775238037,13.603584289550781,4.940616130828857,1.3017611503601074,3.9630109713483854,0.9984603065052924,2.0000000014421713,6.305051414301488e-08,True,0.4843309987414492,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,29.532071431373375,0.13367807865142822,0.1158447265625,0.5593124628067017,6.6041460037231445,0.932380735874176,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8564952992670313,2576394485760.0,1.0,0.0067379469983279705,4740416536576.0,9609.6728515625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8268283963323042,2543682846720.0,1.0,0.0067379469983279705,4729265979392.0,9590.2236328125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,27.267666667534513,0.23422527313232422,0.1234130859375,0.5817880034446716,7.296379089355469,0.9859014749526978,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,12.814849364947156,2.9105119705200195,0.1898193359375,0.4749103784561157,22.8341121673584,1.5265542268753052,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,17.75590862409145,5.736242294311523,0.21563720703125,0.5236014723777771,70.68133544921875,1.695409893989563
101,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0005453824996948,3.9226441383361816,3.9892663955688477,6.742672443389893,15.257074356079102,5.368086814880371,1.3003947734832764,4.446810542266292,0.9991907407784013,1.9999999995881912,7.603224361218963e-08,True,0.40030388794783167,True,True,True,True,True,persistent_or_slow_drift,True,available,False,True,False,False,28.592485028561672,0.09166403114795685,0.09405517578125,0.5580597519874573,6.532164573669434,0.9147704839706421,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8044406248214498,2739621855232.0,1.0,0.0067379469983279705,4840672460800.0,9733.9658203125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8344089460561852,2759903936512.0,1.0,0.0067379469983279705,4860043329536.0,9766.125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,12.580287539599178,0.20178565382957458,0.10601806640625,0.5810826420783997,7.216911315917969,0.963762104511261,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,13.149933471500027,2.814176082611084,0.162353515625,0.47561171650886536,22.908449172973633,1.5129724740982056,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,6.8561724996183,7.274378776550293,0.18792724609375,0.5427723526954651,86.9090576171875,1.4293864965438843
102,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0015722513198853,3.810669422149658,3.8513503074645996,6.692898273468018,14.279912948608398,5.233831882476807,1.2897299528121948,4.161938248411219,0.9971783357828233,1.9999999994921813,3.63781005319197e-08,True,0.5470741832754366,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,38.34448973193581,0.056203171610832214,0.11309814453125,0.5587794184684753,6.467777252197266,0.9244865775108337,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,1.9773565147955,2639348629504.0,1.0,0.0067379469983279705,4771252535296.0,9659.310546875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,3.1957381478090774,2593379057664.0,0.9998779296875,0.0067379469983279705,4796776972288.0,9717.45703125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,24.445947967378288,0.1779889166355133,0.11627197265625,0.5813725590705872,7.10985803604126,0.9749323129653931,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,11.216204729089018,2.7467567920684814,0.1785888671875,0.47405436635017395,22.355770111083984,1.5105282068252563,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,11.510458380213175,6.36811637878418,0.15911865234375,0.5575113892555237,82.05290985107422,1.3596841096878052
103,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,0.9994182586669922,3.8045785427093506,3.811164140701294,6.515949249267578,14.1581449508667,5.116579055786133,1.2774065732955933,4.040678020520698,0.9950001613331281,2.000000000762498,6.814037334379464e-08,True,0.5125550656192245,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,29.50040444318198,0.0874159187078476,0.12969970703125,0.5599192976951599,6.614053726196289,0.9407565593719482,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8819530080140131,2702857207808.0,1.0,0.0067379469983279705,4934580830208.0,9923.2607421875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8900333566033881,2695451639808.0,0.99993896484375,0.0067379469983279705,4920760598528.0,9930.322265625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,27.8425979574682,0.21258030831813812,0.13458251953125,0.5824766755104065,7.2912797927856445,0.982022762298584,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,8.163609698076554,2.7674031257629395,0.19403076171875,0.47552838921546936,23.109874725341797,1.5269180536270142,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,8.018813040323455,5.6663007736206055,0.14703369140625,0.5640910267829895,90.68749237060547,1.3361058235168457
104,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0000144243240356,3.8267884254455566,3.8647964000701904,6.771835803985596,14.548198699951172,5.271674156188965,1.3835439682006836,4.417156966182986,0.9986158639149615,1.999999999942949,7.028654636087595e-08,True,0.4502883781653051,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,41.647365403362066,0.09722405672073364,0.101806640625,0.5582832098007202,6.633390426635742,0.925140380859375,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8626317705953994,2560654573568.0,1.0,0.0067379469983279705,4801219788800.0,9618.982421875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8863664065981034,2677307080704.0,1.0,0.0067379469983279705,4848084844544.0,9719.5126953125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,27.225181935838943,0.258317768573761,0.1181640625,0.5794783234596252,7.389590263366699,0.981122612953186,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,7.901788945522152,2.867370367050171,0.1702880859375,0.4731563329696655,23.2613468170166,1.546034812927246,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,17.61593376020291,5.630085468292236,0.19683837890625,0.5221754908561707,80.00956726074219,1.7396488189697266
105,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,0.9989305138587952,3.8588058948516846,3.8308610916137695,6.450121879577637,14.403852462768555,5.122532844543457,1.1603057384490967,4.217361102732132,0.9970661796931145,2.0000000004673852,8.965323416987303e-08,True,0.4514746779172952,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,42.85445978957618,0.08645711094141006,0.11846923828125,0.558982253074646,6.481182098388672,0.923687756061554,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8538278288206883,2686377525248.0,0.999267578125,0.0067379469983279705,4809816014848.0,9674.12890625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8726857253917611,2607397732352.0,0.999755859375,0.0067379469983279705,4755598868480.0,9585.0556640625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,19.00781933838232,0.18817858397960663,0.1234130859375,0.5818691849708557,7.171507358551025,0.964718222618103,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,12.608786049999587,2.825124979019165,0.18634033203125,0.4752322733402252,22.49587631225586,1.5083948373794556,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,28.436793179552566,6.6726579666137695,0.19671630859375,0.5216039419174194,83.20838928222656,1.7282352447509766
106,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,0.9995673894882202,3.7885351181030273,3.8027963638305664,6.919073581695557,14.148736000061035,5.3189592361450195,1.4606801271438599,4.806924373683369,0.9965927443017796,1.9999999999565932,6.204402325238334e-08,True,0.44040411144611363,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,31.40061008388793,0.043383363634347916,0.1119384765625,0.5567417740821838,6.5971150398254395,0.9311361908912659,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.8639722560853695,2601572630528.0,0.99884033203125,0.0067379469983279705,4786507218944.0,9609.3388671875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9476280447196348,2677148221440.0,0.99981689453125,0.0067379469983279705,4865822031872.0,9770.51171875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,19.949076590245898,0.18053238093852997,0.12347412109375,0.5776115655899048,7.393092632293701,0.987752377986908,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,13.486462108809585,2.881894826889038,0.186767578125,0.4728721082210541,23.739641189575195,1.5484619140625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,26.86180665544961,7.062190532684326,0.2001953125,0.5194180607795715,85.27814483642578,1.793574571609497
107,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0000253915786743,3.923024892807007,3.9887611865997314,6.570378303527832,15.132547378540039,5.28119421005249,1.221117377281189,3.6064555370493587,0.9978895873123733,2.000000000307144,6.829327503510285e-08,True,0.4038274825818391,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,16.022164395309314,0.10164456069469452,0.112548828125,0.5602562427520752,6.597662925720215,0.9320820569992065,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9085981467083692,2580487602176.0,1.0,0.0067379469983279705,4718686896128.0,9555.0908203125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9335031920334661,2638532313088.0,1.0,0.0067379469983279705,4790823157760.0,9728.0126953125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,23.473978790969234,0.2240278720855713,0.1256103515625,0.5825377106666565,7.291776657104492,0.9760225415229797,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,5.5672324613628135,2.861891269683838,0.17462158203125,0.4769195020198822,22.7703800201416,1.527677297592163,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,11.147382624327726,5.804725170135498,0.2021484375,0.52104252576828,88.5074462890625,1.770599126815796
108,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,0.997611939907074,3.8462135791778564,3.8074862957000732,6.535435199737549,14.67919921875,5.206055641174316,1.3495235443115234,4.241134686401518,1.0020565042664666,1.9999999989925665,6.250029827015169e-08,True,0.4608928711844843,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,33.47880450252005,0.10983218252658844,0.11456298828125,0.5565093159675598,6.779009819030762,0.9411048889160156,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9288418101010187,2654482464768.0,1.0,0.0067379469983279705,4820967620608.0,9732.5595703125,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.878685764268933,2629391351808.0,1.0,0.0067379469983279705,4782558806016.0,9662.6025390625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,19.716376732144077,0.23718538880348206,0.1204833984375,0.5786481499671936,7.467022895812988,0.9858144521713257,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,14.549916047246839,2.9472391605377197,0.18939208984375,0.47351789474487305,23.903858184814453,1.5686143636703491,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,17.88338438003839,5.597020149230957,0.19232177734375,0.5192486047744751,79.3859634399414,1.7257329225540161
109,100,0.6600979969495302,0.8132904091902899,True,True,True,0.5074179104477612,256,1.0000007152557373,3.942978858947754,3.98987078666687,6.847144603729248,15.257709503173828,5.431921005249023,1.3130581378936768,4.157139355198961,1.0000425075278412,1.9999999992369666,6.360636461977265e-08,True,0.5223364282343287,True,True,True,True,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,30.93417807907549,0.1296388953924179,0.1109619140625,0.5606225728988647,6.640676021575928,0.9406737685203552,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9292162928357498,2530567258112.0,0.9991455078125,0.0067379469983279705,4675623452672.0,9414.35546875,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,0.9888335972713463,2551054336000.0,0.9996337890625,0.0067379469983279705,4636722331648.0,9357.4619140625,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,False,True,True,False,23.81438065578224,0.25775307416915894,0.12347412109375,0.5830007791519165,7.261565208435059,0.9801602363586426,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,15.249003123210244,2.8386905193328857,0.1888427734375,0.47618773579597473,22.611042022705078,1.5245682001113892,True,support_or_variance_boundary_event_without_terminal_convergence,True,available,True,True,True,False,11.573854734445579,5.565814971923828,0.2005615234375,0.5236896276473999,86.58578491210938,1.7462217807769775
