method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,support_boundary_onset_event_rate,n
baseline,30.0,30.0,30.0,0.5674878358840942,0.5674878358840942,0.5674878358840942,-0.06272221356630325,-0.06272221356630325,-0.06272221356630325,0.4031016528606415,0.4031016528606415,0.4031016528606415,0.8027234673500061,0.8027234673500061,0.8027234673500061,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
near_zero,30.0,30.0,30.0,0.5674322843551636,0.5674322843551636,0.5674322843551636,-0.06283276528120041,-0.06283276528120041,-0.06283276528120041,0.40311291813850403,0.40311291813850403,0.40311291813850403,0.8028033971786499,0.8028033971786499,0.8028033971786499,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_zero,30.0,30.0,30.0,0.5683267116546631,0.5683267116546631,0.5683267116546631,-0.0609327033162117,-0.0609327033162117,-0.0609327033162117,0.40285998582839966,0.40285998582839966,0.40285998582839966,0.8015084266662598,0.8015084266662598,0.8015084266662598,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_cap,30.0,30.0,30.0,0.5683231353759766,0.5683231353759766,0.5683231353759766,-0.06094028428196907,-0.06094028428196907,-0.06094028428196907,0.40286099910736084,0.40286099910736084,0.40286099910736084,0.8015135526657104,0.8015135526657104,0.8015135526657104,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
global_scale,30.0,30.0,30.0,0.568202793598175,0.568202793598175,0.568202793598175,-0.06118996441364288,-0.06118996441364288,-0.06118996441364288,0.40289103984832764,0.40289103984832764,0.40289103984832764,0.8016874194145203,0.8016874194145203,0.8016874194145203,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_to_near,30.0,30.0,30.0,0.5688811540603638,0.5688811540603638,0.5688811540603638,-0.05982596427202225,-0.05982596427202225,-0.05982596427202225,0.4027506709098816,0.4027506709098816,0.4027506709098816,0.8007097244262695,0.8007097244262695,0.8007097244262695,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
