method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,support_boundary_onset_event_rate,n
baseline,30.0,30.0,30.0,0.5681759715080261,0.5681759715080261,0.5681759715080261,-0.0612572580575943,-0.0612572580575943,-0.0612572580575943,0.4028908312320709,0.4028908312320709,0.4028908312320709,0.801726758480072,0.801726758480072,0.801726758480072,0.41736865043640137,0.41736865043640137,0.41736865043640137,0.38019782304763794,0.38019782304763794,0.38019782304763794,0.4449451267719269,0.4449451267719269,0.4449451267719269,-0.9670635461807251,-0.9670635461807251,-0.9670635461807251,-0.8098043203353882,-0.8098043203353882,-0.8098043203353882,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
near_zero,30.0,30.0,30.0,0.5682271122932434,0.5682271122932434,0.5682271122932434,-0.06114863231778145,-0.06114863231778145,-0.06114863231778145,0.4028785228729248,0.4028785228729248,0.4028785228729248,0.8016529083251953,0.8016529083251953,0.8016529083251953,0.4175102412700653,0.4175102412700653,0.4175102412700653,0.380367636680603,0.380367636680603,0.380367636680603,0.44506824016571045,0.44506824016571045,0.44506824016571045,-0.9666169881820679,-0.9666169881820679,-0.9666169881820679,-0.8095276355743408,-0.8095276355743408,-0.8095276355743408,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_zero,30.0,30.0,30.0,0.5682046413421631,0.5682046413421631,0.5682046413421631,-0.06119343638420105,-0.06119343638420105,-0.06119343638420105,0.40288206934928894,0.40288206934928894,0.40288206934928894,0.801685094833374,0.801685094833374,0.801685094833374,0.4174255132675171,0.4174255132675171,0.4174255132675171,0.38026392459869385,0.38026392459869385,0.38026392459869385,0.4449959099292755,0.4449959099292755,0.4449959099292755,-0.9668897390365601,-0.9668897390365601,-0.9668897390365601,-0.8096901774406433,-0.8096901774406433,-0.8096901774406433,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_cap,30.0,30.0,30.0,0.5682013034820557,0.5682013034820557,0.5682013034820557,-0.061200935393571854,-0.061200935393571854,-0.061200935393571854,0.4028831422328949,0.4028831422328949,0.4028831422328949,0.8016900420188904,0.8016900420188904,0.8016900420188904,0.41741883754730225,0.41741883754730225,0.41741883754730225,0.38025617599487305,0.38025617599487305,0.38025617599487305,0.4449899196624756,0.4449899196624756,0.4449899196624756,-0.9669100642204285,-0.9669100642204285,-0.9669100642204285,-0.8097036480903625,-0.8097036480903625,-0.8097036480903625,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
global_scale,30.0,30.0,30.0,0.5681966543197632,0.5681966543197632,0.5681966543197632,-0.06121263653039932,-0.06121263653039932,-0.06121263653039932,0.402885377407074,0.402885377407074,0.402885377407074,0.8016968965530396,0.8016968965530396,0.8016968965530396,0.4174197316169739,0.4174197316169739,0.4174197316169739,0.38025879859924316,0.38025879859924316,0.38025879859924316,0.44498977065086365,0.44498977065086365,0.44498977065086365,-0.9669032096862793,-0.9669032096862793,-0.9669032096862793,-0.8097040057182312,-0.8097040057182312,-0.8097040057182312,0.25566717088222507,0.25566717088222507,0.25566717088222507,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
