seed,quadratic_minus_linear_reward,quadratic_minus_linear_far_near_ratio,quadratic_reward_higher,quadratic_far_near_ratio_lower
70,0.011061787605285645,-1.5559318432760876,True,True
71,0.011507987976074219,-1.631145893642235,True,True
72,0.011684298515319824,-1.5857356785010408,True,True
73,0.011029481887817383,-1.6101579378878634,True,True
74,0.01184844970703125,-1.586093857617013,True,True
75,0.012399494647979736,-1.619810776246934,True,True
76,0.0120314359664917,-1.5688531626158195,True,True
77,0.009775698184967041,-1.6103784807963961,True,True
78,0.0111655592918396,-1.55425330855737,True,True
79,0.01093214750289917,-1.5754978769726313,True,True
80,0.011292219161987305,-1.612450354606375,True,True
81,0.011657536029815674,-1.7188075261267644,True,True
82,0.011004626750946045,-1.6041538472141275,True,True
83,0.010237574577331543,-1.6061871768119054,True,True
84,0.01113271713256836,-1.618554544873981,True,True
85,0.011772394180297852,-1.6161654097937803,True,True
86,0.010285377502441406,-1.5586575450753832,True,True
87,0.013942182064056396,-1.6109277006202514,True,True
88,0.012933433055877686,-1.6122666098693998,True,True
89,0.009744763374328613,-1.5715041532803453,True,True
