task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
maze,exponential,0.44,4000,0.734375,0.3364
maze,exponential,0.5108256237659907,4000,0.7578125,0.344
maze,exponential,0.55,4000,0.7625,0.3396
maze,exponential,0.6931471805599453,4000,0.7671875,0.3388
maze,exponential,0.7,4000,0.75625,0.3356
maze,exponential,0.9,4000,0.7671875,0.34320000000000006
maze,exponential,1.0498221244986778,4000,0.7578125,0.33440000000000003
maze,exponential,1.3862943611198906,4000,0.765625,0.3304
maze,exponential,2.0794415416798357,4000,0.7609375,0.3096
word_ladder,positive_only,,4000,0.1046875,0.046799999999999994
word_ladder,positive_only,,5000,0.0953125,0.053200000000000004
word_ladder,positive_only,,6000,0.09375,0.044
word_ladder,positive_only,,7000,0.1265625,0.054000000000000006
word_ladder,exponential,0.10536051565782628,4000,0.0203125,0.014400000000000001
word_ladder,exponential,0.2876820724517809,4000,0.0375,0.0248
word_ladder,exponential,0.5108256237659907,4000,0.05625,0.023600000000000003
word_ladder,exponential,0.6931471805599453,4000,0.078125,0.024399999999999998
word_ladder,exponential,0.95,4000,0.0875,0.021599999999999998
word_ladder,exponential,1.0498221244986778,4000,0.10625,0.0348
word_ladder,exponential,1.05,4000,0.09375,0.0248
word_ladder,exponential,1.12,4000,0.08125,0.0288
word_ladder,exponential,1.24,4000,0.1015625,0.034
word_ladder,exponential,1.3,4000,0.084375,0.0392
word_ladder,exponential,1.34,4000,0.0984375,0.03560000000000001
word_ladder,exponential,1.3862943611198906,4000,0.096875,0.0392
word_ladder,exponential,1.43,4000,0.0890625,0.036800000000000006
word_ladder,exponential,1.48,4000,0.0953125,0.0388
word_ladder,exponential,1.54,4000,0.0984375,0.034800000000000005
word_ladder,exponential,1.6,4000,0.0984375,0.04
word_ladder,exponential,1.78,4000,0.096875,0.0452
word_ladder,exponential,1.9,4000,0.103125,0.0408
word_ladder,exponential,2.0794415416798357,4000,0.1109375,0.0396
word_ladder,exponential,2.3,4000,0.1,0.04360000000000001
knights_knaves,positive_only,,4000,0.7046875,0.34319999999999995
knights_knaves,positive_only,,5000,0.659375,0.33840000000000003
knights_knaves,positive_only,,6000,0.646875,0.35
knights_knaves,positive_only,,7000,0.678125,0.32880000000000004
knights_knaves,exponential,0.10536051565782628,4000,0.5265625,0.19599999999999998
knights_knaves,exponential,0.2876820724517809,4000,0.6609375,0.2876
knights_knaves,exponential,0.5108256237659907,4000,0.6515625,0.3244
knights_knaves,exponential,0.65,4000,0.6734375,0.3068
knights_knaves,exponential,0.6931471805599453,4000,0.68125,0.33440000000000003
knights_knaves,exponential,0.72,4000,0.653125,0.3236
knights_knaves,exponential,0.78,4000,0.634375,0.31520000000000004
knights_knaves,exponential,0.84,4000,0.6328125,0.3028
knights_knaves,exponential,0.9,4000,0.66875,0.33440000000000003
knights_knaves,exponential,0.96,4000,0.6234375,0.2964
knights_knaves,exponential,1.0,4000,0.6375,0.28400000000000003
knights_knaves,exponential,1.0498221244986778,4000,0.6703125,0.32
knights_knaves,exponential,1.1,4000,0.6453125,0.2908
knights_knaves,exponential,1.16,4000,0.609375,0.29359999999999997
knights_knaves,exponential,1.22,4000,0.640625,0.3076
knights_knaves,exponential,1.28,4000,0.6328125,0.3184
knights_knaves,exponential,1.3862943611198906,4000,0.64375,0.3144
knights_knaves,exponential,1.42,4000,0.6671875,0.32080000000000003
knights_knaves,exponential,1.65,4000,0.640625,0.3156
knights_knaves,exponential,2.0794415416798357,4000,0.6578125,0.32639999999999997
graph_color,positive_only,,4000,0.98125,0.9571999999999999
graph_color,positive_only,,5000,0.984375,0.9648
graph_color,positive_only,,6000,0.9890625,0.9548
graph_color,positive_only,,7000,0.9921875,0.9672000000000001
graph_color,exponential,0.1,4000,0.990625,0.9724
graph_color,exponential,0.10536051565782628,4000,0.9921875,0.9712
graph_color,exponential,0.15,4000,0.9875,0.9672000000000001
graph_color,exponential,0.22,4000,1.0,0.9880000000000001
graph_color,exponential,0.2876820724517809,4000,0.996875,0.9835999999999998
graph_color,exponential,0.38,4000,0.9890625,0.9852000000000001
