task,bin_index,relative_implemented_actor_gradient,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_unit
word_sorting,0,1.0,1.0,1.0,2000,161803,prompt_within_task
word_sorting,1,1.584078718837501,1.3549618837137563,1.8767783750580926,2000,161803,prompt_within_task
word_sorting,2,2.1236245080714045,1.7299550372006411,2.6635313468403843,2000,161803,prompt_within_task
word_sorting,3,3.475489968794797,2.7100069894149628,4.4642321265573,2000,161803,prompt_within_task
word_sorting,4,6.982335091784227,4.729998325051684,9.91513809827842,2000,161803,prompt_within_task
word_sorting,5,7.5435051630155465,5.010969262209999,11.324258161471903,2000,161803,prompt_within_task
word_sorting,6,9.234622609202251,5.708705244416365,13.948050654760683,2000,161803,prompt_within_task
word_sorting,7,7.503499660254632,5.023712063306578,10.76727265923536,2000,161803,prompt_within_task
word_sorting,8,9.181577835537723,6.496057113398685,12.315676878443856,2000,161803,prompt_within_task
word_sorting,9,10.052659378476102,7.243138038764762,13.250240355417635,2000,161803,prompt_within_task
spiral_matrix,0,1.0,1.0,1.0,2000,161803,prompt_within_task
spiral_matrix,1,1.0328048353058739,0.8136539004144798,1.3122539450061914,2000,161803,prompt_within_task
spiral_matrix,2,0.9886324523863083,0.7702951013596248,1.2712306922279675,2000,161803,prompt_within_task
spiral_matrix,3,1.442419773082135,1.1001474442736174,1.9074015967243914,2000,161803,prompt_within_task
spiral_matrix,4,1.49953895847326,1.1156931857652113,1.9957229496837638,2000,161803,prompt_within_task
spiral_matrix,5,3.3452360274954387,2.478330808379452,4.36181628743894,2000,161803,prompt_within_task
spiral_matrix,6,5.361258833389713,4.208450672656301,6.841311606707585,2000,161803,prompt_within_task
spiral_matrix,7,5.185836716592245,4.279501787877423,6.321059141731474,2000,161803,prompt_within_task
spiral_matrix,8,5.212203943062386,4.344553635356998,6.356531625874394,2000,161803,prompt_within_task
spiral_matrix,9,5.593482378032725,4.700986979704471,6.77600261080894,2000,161803,prompt_within_task
mini_sudoku,0,1.0,1.0,1.0,2000,161803,prompt_within_task
mini_sudoku,1,0.8067191545700726,0.6292792327135643,1.0437347766014426,2000,161803,prompt_within_task
mini_sudoku,2,0.9410878022417646,0.7037104815173041,1.225799534341515,2000,161803,prompt_within_task
mini_sudoku,3,1.0767015891845024,0.8315178215875622,1.3731287235844853,2000,161803,prompt_within_task
mini_sudoku,4,1.1795988475704182,0.8841223289371672,1.503257998771257,2000,161803,prompt_within_task
mini_sudoku,5,1.3940207502162079,1.150297530989504,1.7084288539006112,2000,161803,prompt_within_task
mini_sudoku,6,1.4098149526381556,1.1289130471461475,1.744727504996443,2000,161803,prompt_within_task
mini_sudoku,7,1.3667268200278488,1.1275638874222198,1.6497086765291609,2000,161803,prompt_within_task
mini_sudoku,8,1.395113660230163,1.1548204421525226,1.6974125557683313,2000,161803,prompt_within_task
mini_sudoku,9,1.6246212212376612,1.3507239155549757,1.9478429752346815,2000,161803,prompt_within_task
maze,0,1.0,1.0,1.0,2000,161803,prompt_within_task
maze,1,1.1540424467118702,1.070758434953928,1.2451792125647123,2000,161803,prompt_within_task
maze,2,1.4411289937452028,1.3502839402195845,1.547439613581595,2000,161803,prompt_within_task
maze,3,1.7255813445022885,1.5164655370622828,2.059158373414097,2000,161803,prompt_within_task
maze,4,1.6683160207841314,1.5726310880924772,1.7758599249787452,2000,161803,prompt_within_task
maze,5,2.035179531840774,1.6844202202336065,2.5409052302702406,2000,161803,prompt_within_task
maze,6,3.961226948462699,3.36593852699139,4.566321400950712,2000,161803,prompt_within_task
maze,7,3.5607312346863105,3.350998200149534,3.8266970163354572,2000,161803,prompt_within_task
maze,8,3.2963575691948046,3.1161851639419593,3.50094870680038,2000,161803,prompt_within_task
maze,9,3.1369270442956143,2.97911619751616,3.322615748776808,2000,161803,prompt_within_task
word_ladder,0,1.0,1.0,1.0,2000,161803,prompt_within_task
word_ladder,1,1.1190473956018208,1.0054636250065163,1.2419149034445447,2000,161803,prompt_within_task
word_ladder,2,1.1515573754973913,1.0190889742130864,1.3022685750342122,2000,161803,prompt_within_task
word_ladder,3,1.3119965146244204,1.1609514449401575,1.4717192213390349,2000,161803,prompt_within_task
word_ladder,4,1.3356677690805383,1.1713434347117915,1.525542932835524,2000,161803,prompt_within_task
word_ladder,5,1.3510954713309795,1.196485959621143,1.5278454172272053,2000,161803,prompt_within_task
word_ladder,6,1.274270021458057,1.1666108717760328,1.4002307114192325,2000,161803,prompt_within_task
word_ladder,7,1.8911493280976202,1.5186943025243813,2.4234357454362474,2000,161803,prompt_within_task
word_ladder,8,1.8994773490473833,1.637622688966068,2.186327237845164,2000,161803,prompt_within_task
word_ladder,9,2.267605256122897,1.95739984366289,2.674997888264959,2000,161803,prompt_within_task
knights_knaves,0,1.0,1.0,1.0,2000,161803,prompt_within_task
knights_knaves,1,1.0803846907810162,1.0109925585887132,1.1513991308742724,2000,161803,prompt_within_task
knights_knaves,2,1.0859731753910327,0.9911346235045312,1.1768255639737875,2000,161803,prompt_within_task
knights_knaves,3,1.1251011612558997,1.0326923920217606,1.2258667619978743,2000,161803,prompt_within_task
knights_knaves,4,1.2300700487171172,1.1518245174343356,1.3156893938907714,2000,161803,prompt_within_task
knights_knaves,5,1.1531533987937235,1.0442057544897756,1.2528722544420186,2000,161803,prompt_within_task
knights_knaves,6,1.1978267084689271,1.0660209120204278,1.311769315763927,2000,161803,prompt_within_task
knights_knaves,7,1.2624468595648761,1.1094236086193066,1.4069902826792544,2000,161803,prompt_within_task
knights_knaves,8,1.6058721786755856,1.4343218863159535,1.782066551935603,2000,161803,prompt_within_task
knights_knaves,9,2.077523438263206,1.716352778536161,2.457493297238364,2000,161803,prompt_within_task
graph_color,0,1.0,1.0,1.0,2000,161803,prompt_within_task
graph_color,1,1.0103221148778718,0.9820371913885471,1.0366356306593238,2000,161803,prompt_within_task
graph_color,2,0.9848802711546303,0.9573612321162366,1.0131517806234884,2000,161803,prompt_within_task
graph_color,3,0.9934003281305946,0.9661636797232888,1.0227121106098438,2000,161803,prompt_within_task
graph_color,4,1.0052718815087573,0.9791878834059531,1.0352635605707399,2000,161803,prompt_within_task
graph_color,5,1.0140552584267701,0.9890398868512753,1.0399663529912573,2000,161803,prompt_within_task
graph_color,6,0.9989018863129301,0.9763944145652101,1.0230904935034641,2000,161803,prompt_within_task
graph_color,7,1.0179234707990745,0.9910291202014501,1.044785353645868,2000,161803,prompt_within_task
graph_color,8,1.024283300285883,1.0017458656974227,1.0468425235222454,2000,161803,prompt_within_task
graph_color,9,1.0526114987309383,1.0288960733209431,1.076492694967218,2000,161803,prompt_within_task
wikisql,0,1.0,1.0,1.0,2000,161803,prompt_within_task
wikisql,1,1.1003331406559063,0.9236553480889567,1.339420263836952,2000,161803,prompt_within_task
wikisql,2,1.1940741623339122,0.9939192692676297,1.4621553262404183,2000,161803,prompt_within_task
wikisql,3,1.277418419211364,1.0512205995830468,1.6157854203977409,2000,161803,prompt_within_task
wikisql,4,1.3234211204749204,1.0724183353984074,1.6916763555557583,2000,161803,prompt_within_task
wikisql,5,1.2724964461065489,1.0682363593247306,1.5220862673258155,2000,161803,prompt_within_task
wikisql,6,1.360873962946488,1.1341001298879372,1.6419247274545148,2000,161803,prompt_within_task
wikisql,7,1.8035688328099198,1.5118942972914946,2.192946908344726,2000,161803,prompt_within_task
wikisql,8,2.1906984739161466,1.7129407683576192,2.835375878284443,2000,161803,prompt_within_task
wikisql,9,3.2973516653744146,2.69805074309023,4.03302128739766,2000,161803,prompt_within_task
