step,stage,reward,normalized_extrapolation_displacement,distance_to_a_plus,distance_to_a_star,sigma_mean,sigma_min,sigma_max,log_sigma_min,log_sigma_max,aggregate_phantom_negative_gradient_norm,negative_raw_distance_mean,negative_standardized_distance_mean,near_standardized_distance,far_standardized_distance
0,initial,0.6556586027145386,0.17529094219207764,0.4268903136253357,0.6723641157150269,0.6000000238418579,0.6000000238418579,0.6000000238418579,-0.5108256340026855,-0.5108256340026855,0.5470080375671387,1.3260226249694824,2.2100377082824707,1.2132384777069092,3.0302975177764893
4,adam,0.6513339281082153,0.15831258893013,0.419843852519989,0.6784612536430359,0.5940606594085693,0.589499294757843,0.5962929129600525,-0.5284817218780518,-0.5170232653617859,,,,,
4,stationary_audit,0.6007269024848938,0.015354832634329796,0.39810988306999207,0.7533303499221802,0.3693905770778656,0.3304772973060608,0.39653992652893066,-1.1072173118591309,-0.9249785542488098,2.0745975971221924,1.3602384328842163,3.6113028526306152,1.7067620754241943,5.1194000244140625
6,continuation,0.6015952825546265,0.016926400363445282,0.3974239230155945,0.7520808577537537,0.3693007528781891,0.3302139341831207,0.3966382145881653,-1.1080145835876465,-0.9247307181358337,2.0726571083068848,1.3597959280014038,3.610731601715088,1.709344506263733,5.117002964019775
6,final_stationary_audit_and_adaptive_polish,0.6193351745605469,0.048283133655786514,0.38053104281425476,0.725989043712616,0.36759209632873535,0.32609042525291443,0.3982172906398773,-1.1205805540084839,-0.9207574725151062,2.004448175430298,1.3444736003875732,3.5804929733276367,1.7376339435577393,5.045361518859863
