task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
spiral_matrix,reciprocal_quadratic,361.0,5000,0.996875,0.9948
mini_sudoku,reciprocal_linear,1.0,5000,0.834375,0.7659999999999999
mini_sudoku,reciprocal_linear,3.0,5000,0.8703125,0.8236000000000001
mini_sudoku,reciprocal_linear,7.0,5000,0.8921875,0.8356
mini_sudoku,reciprocal_linear,19.0,5000,0.9015625,0.8676
mini_sudoku,reciprocal_quadratic,1.0,5000,0.9078125,0.8503999999999999
mini_sudoku,reciprocal_quadratic,9.0,5000,0.9078125,0.8495999999999999
mini_sudoku,reciprocal_quadratic,49.0,5000,0.9265625,0.8863999999999999
mini_sudoku,reciprocal_quadratic,361.0,5000,0.9515625,0.89
maze,reciprocal_linear,1.0,5000,0.75,0.3124
maze,reciprocal_linear,3.0,5000,0.753125,0.3184
maze,reciprocal_linear,7.0,5000,0.7734375,0.3308
maze,reciprocal_linear,19.0,5000,0.775,0.332
maze,reciprocal_quadratic,1.0,5000,0.7453125,0.324
maze,reciprocal_quadratic,9.0,5000,0.78125,0.3344
maze,reciprocal_quadratic,49.0,5000,0.7796875,0.3256
maze,reciprocal_quadratic,361.0,5000,0.78125,0.3308
word_ladder,reciprocal_linear,1.0,5000,0.028125,0.0192
word_ladder,reciprocal_linear,3.0,5000,0.046875,0.016
word_ladder,reciprocal_linear,7.0,5000,0.05625,0.0223999999999999
word_ladder,reciprocal_linear,19.0,5000,0.1171875,0.0431999999999999
word_ladder,reciprocal_quadratic,1.0,5000,0.046875,0.0168
word_ladder,reciprocal_quadratic,9.0,5000,0.0875,0.0272
word_ladder,reciprocal_quadratic,49.0,5000,0.103125,0.0452
word_ladder,reciprocal_quadratic,361.0,5000,0.11875,0.0472
knights_knaves,reciprocal_linear,1.0,5000,0.55,0.2172
knights_knaves,reciprocal_linear,3.0,5000,0.5796875,0.2616
knights_knaves,reciprocal_linear,7.0,5000,0.6015625,0.2588
knights_knaves,reciprocal_linear,19.0,5000,0.6296875,0.3228
knights_knaves,reciprocal_quadratic,1.0,5000,0.6125,0.2572
knights_knaves,reciprocal_quadratic,9.0,5000,0.6375,0.3068
knights_knaves,reciprocal_quadratic,49.0,5000,0.6859375,0.3324
knights_knaves,reciprocal_quadratic,361.0,5000,0.6609375,0.324
graph_color,reciprocal_linear,1.0,5000,0.9765625,0.9488
graph_color,reciprocal_linear,3.0,5000,0.9953125,0.9824
graph_color,reciprocal_linear,7.0,5000,0.9890625,0.9676
graph_color,reciprocal_linear,19.0,5000,1.0,0.994
graph_color,reciprocal_quadratic,1.0,5000,0.9703125,0.962
graph_color,reciprocal_quadratic,9.0,5000,0.9921875,0.9768
graph_color,reciprocal_quadratic,49.0,5000,0.984375,0.9756
graph_color,reciprocal_quadratic,361.0,5000,0.990625,0.984
wikisql,reciprocal_linear,1.0,5000,0.60625,0.4688
wikisql,reciprocal_linear,3.0,5000,0.7109375,0.6352
wikisql,reciprocal_linear,7.0,5000,0.7203125,0.6552
wikisql,reciprocal_linear,19.0,5000,0.76875,0.7076
wikisql,reciprocal_quadratic,1.0,5000,0.7015625,0.6428
wikisql,reciprocal_quadratic,9.0,5000,0.78125,0.7023999999999999
wikisql,reciprocal_quadratic,49.0,5000,0.803125,0.7548
wikisql,reciprocal_quadratic,361.0,5000,0.8296875,0.758
word_sorting,reciprocal_linear,31.0,4000,0.5734375,0.4244
word_sorting,reciprocal_linear,49.0,4000,0.5765625,0.4464
word_sorting,reciprocal_linear,81.0,4000,0.590625,0.466
word_sorting,reciprocal_linear,121.0,4000,0.58125,0.4612
word_sorting,reciprocal_quadratic,961.0,4000,0.6109375,0.4784
word_sorting,reciprocal_quadratic,2401.0,4000,0.621875,0.4599999999999999
word_sorting,reciprocal_quadratic,6561.0,4000,0.590625,0.4496
word_sorting,reciprocal_quadratic,14641.0,4000,0.5984375,0.4528
spiral_matrix,reciprocal_linear,31.0,4000,0.9203125,0.8892
spiral_matrix,reciprocal_linear,49.0,4000,0.921875,0.8956
spiral_matrix,reciprocal_linear,81.0,4000,0.9265625,0.8992000000000001
spiral_matrix,reciprocal_linear,121.0,4000,0.984375,0.9772
spiral_matrix,reciprocal_quadratic,961.0,4000,1.0,0.9996
spiral_matrix,reciprocal_quadratic,2401.0,4000,1.0,1.0
spiral_matrix,reciprocal_quadratic,6561.0,4000,1.0,0.9996
spiral_matrix,reciprocal_quadratic,14641.0,4000,1.0,0.9984
mini_sudoku,reciprocal_linear,31.0,4000,0.803125,0.7455999999999999
mini_sudoku,reciprocal_linear,49.0,4000,0.9015625,0.8319999999999999
mini_sudoku,reciprocal_linear,81.0,4000,0.928125,0.8775999999999999
mini_sudoku,reciprocal_linear,121.0,4000,0.9390625,0.8799999999999999
mini_sudoku,reciprocal_quadratic,961.0,4000,0.95625,0.8936
mini_sudoku,reciprocal_quadratic,2401.0,4000,0.9609375,0.8892
mini_sudoku,reciprocal_quadratic,6561.0,4000,0.9703125,0.8924000000000001
mini_sudoku,reciprocal_quadratic,14641.0,4000,0.965625,0.8912000000000001
maze,reciprocal_linear,31.0,4000,0.7609375,0.3336
maze,reciprocal_linear,49.0,4000,0.7671875,0.3376
maze,reciprocal_linear,81.0,4000,0.7734375,0.3276
maze,reciprocal_linear,121.0,4000,0.78125,0.3324
maze,reciprocal_quadratic,961.0,4000,0.7734375,0.3352
maze,reciprocal_quadratic,2401.0,4000,0.778125,0.3396
maze,reciprocal_quadratic,6561.0,4000,0.7703125,0.3308
maze,reciprocal_quadratic,14641.0,4000,0.7734375,0.3428
word_ladder,reciprocal_linear,31.0,4000,0.1234375,0.0368
word_ladder,reciprocal_linear,49.0,4000,0.1234375,0.0376
word_ladder,reciprocal_linear,81.0,4000,0.109375,0.0396
word_ladder,reciprocal_linear,121.0,4000,0.1265625,0.0428
word_ladder,reciprocal_quadratic,961.0,4000,0.121875,0.0452
word_ladder,reciprocal_quadratic,2401.0,4000,0.1265625,0.0443999999999999
word_ladder,reciprocal_quadratic,6561.0,4000,0.1203125,0.0432
word_ladder,reciprocal_quadratic,14641.0,4000,0.1171875,0.0436
knights_knaves,reciprocal_linear,31.0,4000,0.6796875,0.3507999999999999
knights_knaves,reciprocal_linear,49.0,4000,0.6875,0.3511999999999999
knights_knaves,reciprocal_linear,81.0,4000,0.6796875,0.35
knights_knaves,reciprocal_linear,121.0,4000,0.6671875,0.3511999999999999
wikisql,reciprocal_linear,31.0,4000,0.7921875,0.7576
wikisql,reciprocal_linear,49.0,4000,0.815625,0.7696
wikisql,reciprocal_linear,81.0,4000,0.8375,0.7656000000000001
