alpha,seed,seed_ci_low,seed_ci_high,finite_mean_fixed_point,finite_mean_fixed_point_ci_low,finite_mean_fixed_point_ci_high,analytic_normalized_extrapolation_displacement,analytic_normalized_extrapolation_displacement_ci_low,analytic_normalized_extrapolation_displacement_ci_high,analytic_reward,analytic_reward_ci_low,analytic_reward_ci_high,analytic_sigma,analytic_sigma_ci_low,analytic_sigma_ci_high,finite_variance_fixed_point,finite_variance_fixed_point_ci_low,finite_variance_fixed_point_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,positive_gradient_norm,positive_gradient_norm_ci_low,positive_gradient_norm_ci_high,negative_gradient_norm,negative_gradient_norm_ci_low,negative_gradient_norm_ci_high,total_gradient_norm,total_gradient_norm_ci_low,total_gradient_norm_ci_high,normalized_field_residual,normalized_field_residual_ci_low,normalized_field_residual_ci_high,negative_raw_distance_mean,negative_raw_distance_mean_ci_low,negative_raw_distance_mean_ci_high,negative_standardized_distance_mean,negative_standardized_distance_mean_ci_low,negative_standardized_distance_mean_ci_high,dynamic_near_occupancy,dynamic_near_occupancy_ci_low,dynamic_near_occupancy_ci_high,dynamic_far_occupancy,dynamic_far_occupancy_ci_low,dynamic_far_occupancy_ci_high,local_negative_raw_distance,local_negative_raw_distance_ci_low,local_negative_raw_distance_ci_high,local_negative_standardized_distance,local_negative_standardized_distance_ci_low,local_negative_standardized_distance_ci_high,farthest_negative_raw_distance,farthest_negative_raw_distance_ci_low,farthest_negative_raw_distance_ci_high,farthest_negative_standardized_distance,farthest_negative_standardized_distance_ci_low,farthest_negative_standardized_distance_ci_high,stationary_audit_attempted,stationary_audit_attempted_ci_low,stationary_audit_attempted_ci_high,stationary_audit_1_succeeded,stationary_audit_1_succeeded_ci_low,stationary_audit_1_succeeded_ci_high,stationary_audit_2_succeeded,stationary_audit_2_succeeded_ci_low,stationary_audit_2_succeeded_ci_high,stationary_audit_succeeded,stationary_audit_succeeded_ci_low,stationary_audit_succeeded_ci_high,support_boundary_onset_event_rate,n
0.0,50.0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6469051754643524,0.6469051754643524,0.6469051754643524,0.1903943276465978,0.1903943276465978,0.1903943276465978,1.0,1.0,1.0,0.570559024810791,0.570559024810791,0.570559024810791,0.00515235960483551,0.00515235960483551,0.00515235960483551,0.45989343523979187,0.45989343523979187,0.45989343523979187,0.7939354181289673,0.7939354181289673,0.7939354181289673,0.3806037902832031,0.3806037902832031,0.3806037902832031,0.3503202199935913,0.3503202199935913,0.3503202199935913,0.4102931320667267,0.4102931320667267,0.4102931320667267,-1.0489076375961304,-1.0489076375961304,-1.0489076375961304,-0.8908834457397461,-0.8908834457397461,-0.8908834457397461,0.2366664856672287,0.2366664856672287,0.2366664856672287,0.0,0.0,0.0,0.2366664856672287,0.2366664856672287,0.2366664856672287,0.9999999999957746,0.9999999999957746,0.9999999999957746,1.339669942855835,1.339669942855835,1.339669942855835,3.5442862510681152,3.5442862510681152,3.5442862510681152,0.826171875,0.826171875,0.826171875,0.173828125,0.173828125,0.173828125,0.6661698818206787,0.6661698818206787,0.6661698818206787,1.7562124729156494,1.7562124729156494,1.7562124729156494,1.8724560737609863,1.8724560737609863,1.8724560737609863,4.959780216217041,4.959780216217041,4.959780216217041,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.38,50.0,50.0,50.0,1.0,1.0,1.0,0.2066622694715239,0.2066622694715239,0.2066622694715239,0.760231697917547,0.760231697917547,0.760231697917547,0.01041326464172593,0.01041326464172593,0.01041326464172593,1.0,1.0,1.0,0.5706686973571777,0.5706686973571777,0.5706686973571777,0.005432605743408203,0.005432605743408203,0.005432605743408203,0.4598895013332367,0.4598895013332367,0.4598895013332367,0.793777346611023,0.793777346611023,0.793777346611023,0.3805534541606903,0.3805534541606903,0.3805534541606903,0.35027065873146057,0.35027065873146057,0.35027065873146057,0.41024380922317505,0.41024380922317505,0.41024380922317505,-1.0490491390228271,-1.0490491390228271,-1.0490491390228271,-0.8910036683082581,-0.8910036683082581,-0.8910036683082581,0.23652954399585724,0.23652954399585724,0.23652954399585724,0.19817447662353516,0.19817447662353516,0.19817447662353516,0.2906307876110077,0.2906307876110077,0.2906307876110077,0.6685716575527204,0.6685716575527204,0.6685716575527204,1.3396062850952148,1.3396062850952148,1.3396062850952148,3.544588088989258,3.544588088989258,3.544588088989258,0.82421875,0.82421875,0.82421875,0.17578125,0.17578125,0.17578125,0.6663017868995667,0.6663017868995667,0.6663017868995667,1.756788730621338,1.756788730621338,1.756788730621338,1.8722586631774902,1.8722586631774902,1.8722586631774902,4.959919452667236,4.959919452667236,4.959919452667236,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.4,50.0,50.0,50.0,1.0,1.0,1.0,0.22090308716248683,0.22090308716248683,0.22090308716248683,0.7676827342740055,0.7676827342740055,0.7676827342740055,,,,0.0,0.0,0.0,0.5707952976226807,0.5707952976226807,0.5707952976226807,0.005705714225769043,0.005705714225769043,0.005705714225769043,0.4598470628261566,0.4598470628261566,0.4598470628261566,0.793595016002655,0.793595016002655,0.793595016002655,0.3805534541606903,0.3805534541606903,0.3805534541606903,0.3502749502658844,0.3502749502658844,0.3502749502658844,0.4102403223514557,0.4102403223514557,0.4102403223514557,-1.0490368604660034,-1.0490368604660034,-1.0490368604660034,-0.8910121321678162,-0.8910121321678162,-0.8910121321678162,0.23619794845581055,0.23619794845581055,0.23619794845581055,0.20873281359672546,0.20873281359672546,0.20873281359672546,0.29651039838790894,0.29651039838790894,0.29651039838790894,0.666419190750923,0.666419190750923,0.666419190750923,1.339534878730774,1.339534878730774,1.339534878730774,3.544393301010132,3.544393301010132,3.544393301010132,0.82421875,0.82421875,0.82421875,0.17578125,0.17578125,0.17578125,0.6664078235626221,0.6664078235626221,0.6664078235626221,1.7570581436157227,1.7570581436157227,1.7570581436157227,1.872056245803833,1.872056245803833,1.872056245803833,4.959378719329834,4.959378719329834,4.959378719329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
