method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,nonfinite_onset_event_rate,n
uncontrolled_all,50.0,50.0,50.0,0.5692226886749268,0.5692226886749268,0.5692226886749268,0.0018702074885368347,0.0018702074885368347,0.0018702074885368347,0.46016642451286316,0.46016642451286316,0.46016642451286316,0.7958664894104004,0.7958664894104004,0.7958664894104004,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.2567541092634201,0.2567541092634201,0.2567541092634201,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
far_cap,50.0,50.0,50.0,0.5723530650138855,0.5723530650138855,0.5723530650138855,0.009633436799049377,0.009633436799049377,0.009633436799049377,0.45961475372314453,0.45961475372314453,0.45961475372314453,0.7913484573364258,0.7913484573364258,0.7913484573364258,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.2567541092634201,0.2567541092634201,0.2567541092634201,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
budget_matched_global,50.0,50.0,50.0,0.5696044564247131,0.5696044564247131,0.5696044564247131,0.0027741119265556335,0.0027741119265556335,0.0027741119265556335,0.46006059646606445,0.46006059646606445,0.46006059646606445,0.7953144311904907,0.7953144311904907,0.7953144311904907,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.2567541092634201,0.2567541092634201,0.2567541092634201,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1
