alpha,seed,seed_ci_low,seed_ci_high,finite_mean_fixed_point,finite_mean_fixed_point_ci_low,finite_mean_fixed_point_ci_high,analytic_normalized_extrapolation_displacement,analytic_normalized_extrapolation_displacement_ci_low,analytic_normalized_extrapolation_displacement_ci_high,analytic_reward,analytic_reward_ci_low,analytic_reward_ci_high,analytic_sigma,analytic_sigma_ci_low,analytic_sigma_ci_high,finite_variance_fixed_point,finite_variance_fixed_point_ci_low,finite_variance_fixed_point_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,positive_gradient_norm,positive_gradient_norm_ci_low,positive_gradient_norm_ci_high,negative_gradient_norm,negative_gradient_norm_ci_low,negative_gradient_norm_ci_high,total_gradient_norm,total_gradient_norm_ci_low,total_gradient_norm_ci_high,normalized_field_residual,normalized_field_residual_ci_low,normalized_field_residual_ci_high,negative_raw_distance_mean,negative_raw_distance_mean_ci_low,negative_raw_distance_mean_ci_high,negative_standardized_distance_mean,negative_standardized_distance_mean_ci_low,negative_standardized_distance_mean_ci_high,dynamic_near_occupancy,dynamic_near_occupancy_ci_low,dynamic_near_occupancy_ci_high,dynamic_far_occupancy,dynamic_far_occupancy_ci_low,dynamic_far_occupancy_ci_high,local_negative_raw_distance,local_negative_raw_distance_ci_low,local_negative_raw_distance_ci_high,local_negative_standardized_distance,local_negative_standardized_distance_ci_low,local_negative_standardized_distance_ci_high,farthest_negative_raw_distance,farthest_negative_raw_distance_ci_low,farthest_negative_raw_distance_ci_high,farthest_negative_standardized_distance,farthest_negative_standardized_distance_ci_low,farthest_negative_standardized_distance_ci_high,stationary_audit_attempted,stationary_audit_attempted_ci_low,stationary_audit_attempted_ci_high,stationary_audit_1_succeeded,stationary_audit_1_succeeded_ci_low,stationary_audit_1_succeeded_ci_high,stationary_audit_2_succeeded,stationary_audit_2_succeeded_ci_low,stationary_audit_2_succeeded_ci_high,stationary_audit_succeeded,stationary_audit_succeeded_ci_low,stationary_audit_succeeded_ci_high,support_boundary_onset_event_rate,n
0.0,50.0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6469051754643524,0.6469051754643524,0.6469051754643524,0.1903943276465978,0.1903943276465978,0.1903943276465978,1.0,1.0,1.0,0.5704419612884521,0.5704419612884521,0.5704419612884521,0.004746589809656143,0.004746589809656143,0.004746589809656143,0.45976901054382324,0.45976901054382324,0.45976901054382324,0.7941020727157593,0.7941020727157593,0.7941020727157593,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.7865950465202332,0.7865950465202332,0.7865950465202332,0.0,0.0,0.0,0.7865950465202332,0.7865950465202332,0.7865950465202332,0.9999999999987287,0.9999999999987287,0.9999999999987287,1.339734435081482,1.339734435081482,1.339734435081482,7.0366291999816895,7.0366291999816895,7.0366291999816895,0.25390625,0.25390625,0.25390625,0.74609375,0.74609375,0.74609375,0.6659107804298401,0.6659107804298401,0.6659107804298401,3.49753475189209,3.49753475189209,3.49753475189209,1.8727312088012695,1.8727312088012695,1.8727312088012695,9.836065292358398,9.836065292358398,9.836065292358398,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,50.0,50.0,50.0,1.0,1.0,1.0,1.0301326151320167,1.0301326151320167,1.0301326151320167,0.9996046048538051,0.9996046048538051,0.9996046048538051,,,,0.0,0.0,0.0,0.5716804265975952,0.5716804265975952,0.5716804265975952,0.00787883996963501,0.00787883996963501,0.00787883996963501,0.4597328305244446,0.4597328305244446,0.4597328305244446,0.792317807674408,0.792317807674408,0.792317807674408,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.7823935151100159,0.7823935151100159,0.7823935151100159,1.835216999053955,1.835216999053955,1.835216999053955,1.8800761699676514,1.8800761699676514,1.8800761699676514,0.7182413731125327,0.7182413731125327,0.7182413731125327,1.3390254974365234,1.3390254974365234,1.3390254974365234,7.032905578613281,7.032905578613281,7.032905578613281,0.25390625,0.25390625,0.25390625,0.74609375,0.74609375,0.74609375,0.6673858761787415,0.6673858761787415,0.6673858761787415,3.505281686782837,3.505281686782837,3.505281686782837,1.8705166578292847,1.8705166578292847,1.8705166578292847,9.824434280395508,9.824434280395508,9.824434280395508,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.75,50.0,50.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,,0.5736067295074463,0.5736067295074463,0.5736067295074463,0.012778539210557938,0.012778539210557938,0.012778539210557938,0.4595828056335449,0.4595828056335449,0.4595828056335449,0.7895445227622986,0.7895445227622986,0.7895445227622986,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,0.7777520418167114,0.7777520418167114,0.7777520418167114,3.2481448650360107,3.2481448650360107,3.2481448650360107,3.186185121536255,3.186185121536255,3.186185121536255,0.7914224321323443,0.7914224321323443,0.7914224321323443,1.3379093408584595,1.3379093408584595,1.3379093408584595,7.027043342590332,7.027043342590332,7.027043342590332,0.25390625,0.25390625,0.25390625,0.74609375,0.74609375,0.74609375,0.6696601510047913,0.6696601510047913,0.6696601510047913,3.5172266960144043,3.5172266960144043,3.5172266960144043,1.8670880794525146,1.8670880794525146,1.8670880794525146,9.806427001953125,9.806427001953125,9.806427001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
