step,target_probability,target_surprisal,entropy,direct_logit_score_norm,target_logit_gap
0,0.8991000000000001,0.1063610159914097,0.38599999999999984,0.12782661587265876,-2.5032510242380623
100,0.8976101603932117,0.10801942476661648,0.3900233046705334,0.12974819123678943,-2.4856731777541152
200,0.8960774592608607,0.10972841967587348,0.3941349968664069,0.13172580300124787,-2.467824441718668
300,0.8945000864646133,0.11149027937085997,0.3983379190568455,0.13376184570890515,-2.4496967969986234
400,0.8928761319703946,0.1133074177263178,0.4026350270384763,0.13585884752893984,-2.431281877799054
500,0.8912035791017818,0.11518239376940145,0.4070293947284179,0.13801947938393852,-2.4125709521269987
600,0.889480297260018,0.11711792247568126,0.4115242190979913,0.14024656480745587,-2.39355490090922
700,0.887704034062997,0.11911688651918381,0.4161228252352398,0.14254309059822953,-2.3742241956553665
800,0.8858724068509066,0.12118234907382928,0.42082867152030234,0.14491221834383813,-2.354568874548023
900,0.8839828935011057,0.12331756777482443,0.4256453548926148,0.14735729689384447,-2.334578516830349
1000,0.8820328224891384,0.12552600996125243,0.43057661618287946,0.14988187587052776,-2.314242215349869
1100,0.8800193621265814,0.12781136933536477,0.43562634547538354,0.15248972031416844,-2.293548547103862
1200,0.8779395088995459,0.1301775841902567,0.4407985874574679,0.15518482656967217,-2.272485541617254
1300,0.8757900748241233,0.13262885737587657,0.446097546702361,0.15797143953214193,-2.2510406469678683
1400,0.8735676737267559,0.13516967819405112,0.45152759281891863,0.1608540713809678,-2.2292006932562174
1500,0.8712687063484174,0.13780484643669924,0.45709326538659195,0.16383752194516335,-2.206951853297639
1600,0.8688893441614847,0.14053949880811878,0.4627992785757552,0.166926900857205,-2.1842796002930394
1700,0.866425511777275,0.14337913800256305,0.4686505253316987,0.17012765166856117,-2.161168662210979
1800,0.8638728678102682,0.14632966474289888,0.474652080974534,0.17344557811762937,-2.1376029725876964
1900,0.8612267840520709,0.14939741312549143,0.48080920603602295,0.1768868727599531,-2.1135656174230983
2000,0.85848232279409,0.1525891896613878,0.4871273481170343,0.18045814819153563,-2.0890387778191064
2100,0.8556342121226868,0.1559123164551628,0.49361214250468793,0.1841664711188415,-2.0640036679720746
2200,0.8526768189942918,0.1593746790214048,0.5002694112348671,0.18801939955373348,-2.03844046809287
2300,0.8496041198805819,0.1629847793059117,0.5071051602219666,0.19202502343816594,-2.012328251786351
2400,0.8464096687555229,0.16675179455544337,0.5141255740014201,0.19619200903183642,-1.985644907376198
2500,0.8430865621769814,0.17068564276790596,0.5213370075393339,0.20052964742609175,-1.9583670526109502
2600,0.8396274011960758,0.17479705555572506,0.52874597445446,0.20504790757884056,-1.9304699421326394
2700,0.836024249807852,0.17909765937093747,0.5363591308673717,0.2097574942976418,-1.901927367030178
2800,0.8322685896379229,0.18360006617336938,0.5441832539358765,0.21466991163075613,-1.8727115457357335
2900,0.8283512705422971,0.1883179747757488,0.5522252139495453,0.21979753215775227,-1.842793005453593
3000,0.8242624567830187,0.1932662842745905,0.5604919386339069,0.22515367270072673,-1.8121404532378136
3100,0.8199915684321714,0.1984612211764935,0.5689903680495793,0.2307526770022788,-1.7807206357575254
3200,0.8155272176536459,0.2039204820596881,0.5777273981552467,0.23661000593413029,-1.7484981867081406
3300,0.8108571395189685,0.2096633938743635,0.5867098107267112,0.24274233580682372,-1.7154354607438678
3400,0.8059681170346786,0.21571109428684337,0.5959441868763112,0.24916766534089596,-1.6814923527240562
3500,0.8008459000998327,0.22208673481674507,0.6054368008855022,0.25590543182618125,-1.646626100985666
3600,0.7954751181805494,0.22881570990773756,0.615193490434395,0.26297663692897283,-1.610791073280374
3700,0.7898391865937974,0.23592591551615225,0.6252194985701329,0.2704039824940396,-1.573938533953323
3800,0.7839202064474776,0.24344804130187167,0.6355192818847043,0.278212016513426,-1.5360163908985602
3900,0.777698858504623,0.25141590106600836,0.6460962783551991,0.2864272891748946,-1.4969689208142403
4000,0.7711542915473647,0.25986680670141565,0.6569526271195176,0.29507851853162276,-1.456736471312405
4100,0.7642640062382412,0.268841991603541,0.6680888311048045,0.30419676481495456,-1.4152551385319425
4200,0.7570037360469055,0.2783870902240988,0.6795033518870895,0.31381561169690964,-1.3724564190835102
4300,0.7493473275727104,0.28855268122469435,0.6911921244423409,0.3239713518394052,-1.328266835453468
4400,0.7412666236021608,0.2993949024769345,0.7031479775731939,0.3347031727679585,-1.2826075344515595
4500,0.732731353561471,0.3109761469186451,0.7153599438126865,0.3460533373860166,-1.2353938589576818
