step,target_probability,target_surprisal,entropy,direct_logit_score_norm,target_logit_gap
0,0.003800000000000001,5.572754212249797,0.29199999999999987,1.3586802755512064,5.490267386308774
100,0.003157526977827526,5.757966159729405,0.27396525079106915,1.3631388319279127,5.682318947117192
200,0.002620603776027993,5.9443505388927464,0.25677268724031976,1.3672833095313939,5.875040117726205
300,0.0021726069078359424,6.131827492444712,0.24040878717444403,1.3711315728616649,6.068379486171508
400,0.0017993654595687685,6.320321198692463,0.22485832793311233,1.3747005130079726,6.262289011620842
500,0.0014888373976540933,6.509759733624681,0.21010435753074294,1.378006232517171,6.456723843242821
600,0.001230819632753357,6.700074963430285,0.19612821215367837,1.3810641732933775,6.651642153872387
700,0.0010166905809799735,6.891202455032187,0.18290958222108342,1.3838891987247697,6.847004984580658
800,0.0008391833051860619,7.083081394804972,0.17042662396662278,1.3864956406294513,7.042776097177221
900,0.0006921869304399879,7.275654508131707,0.15865611004296426,1.3888973205198305,7.2389218325015365
1000,0.0005705738354441625,7.468867974697908,0.14757361071473152,1.391107553327391,7.435410973067467
1100,0.0004700500703180668,7.662671336342732,0.13715369646632705,1.3931391402797897,7.632214609199778
1200,0.0003870264984396546,7.857017395858257,0.12737015299729507,1.3950043562046195,7.829306008246078
1300,0.0003185082736551037,8.05186210635035,0.11819620032941748,1.396714935231586,8.026660486772617
1400,0.0002620004198625088,8.247164451675802,0.10960470886998075,1.398282057725177,8.224255285873893
1500,0.0002154274596826471,8.44288631908932,0.10156840657608726,1.3997163403241761,8.422069449861567
1600,0.00017706522939641426,8.638992365616728,0.09406007270398636,1.4010278301940666,8.620083708665733
1700,0.00014548320903049326,8.835449879864314,0.0870527149058288,1.4022260040019223,8.81828036429812
1800,0.00011949588276656748,9.032228641022511,0.0805197275904635,1.403319771681453,9.016643181706517
1900,9.812182130164021e-05,9.2293007767646,0.07443503045983096,1.4043174847454178,9.215157284305146
2000,8.054934164577531e-05,9.426640621611497,0.06877318695466636,1.405226948699817,9.41380905440709
2100,6.61077496182016e-05,9.624224577158808,0.06350950299438943,1.4060554389964361,9.612586038719053
2200,5.4243305430330416e-05,9.822030975364274,0.05862010688808917,1.4068097199070935,9.811476858992444
2300,4.4499173326896444e-05,10.020039945888309,0.05408201164417333,1.4074960656968223,10.01047112786102
2400,3.6498722854369794e-05,10.218233288279242,0.049873161136082,1.4081202834997775,10.209559369837443
2500,2.993164279782832e-05,10.416594349606347,0.04597246171153665,1.408687737349313,10.408732947390158
2600,2.454241020916038e-05,10.615107907972131,0.04235980088326207,1.4092033728735112,10.607983991978882
2700,2.01207273621912e-05,10.813760062183828,0.03901605472823311,1.4096717422328062,10.807305339891752
2800,1.649360005536362e-05,11.01253812773338,0.0359230855662587,1.4100970289424362,11.006690472699628
2900,1.351878255481508e-05,11.211430539124773,0.03306373140059289,1.4104830722860047,11.20613346212243
3000,1.1079358687646545e-05,11.410426758496563,0.030421788494350555,1.4108333910853705,11.405628919087725
3100,9.079266138078461e-06,11.609517190414856,0.027981988335646607,1.4111512066451857,11.605171946753577
3200,7.4396027627047004e-06,11.808693102654265,0.02572997011841871,1.4114394647371502,11.804758097262816
3300,6.095580529400057e-06,12.007946552741455,0.02365224974002894,1.411700856529364,12.0043833319959
3400,4.994015212255647e-06,12.207270320004875,0.021736186194671207,1.4119378384002605,12.204043985092635
3500,4.091258870977785e-06,12.406657842852825,0.019969946125934925,1.412152650604954,12.403736730017929
3600,3.3514979561176857e-06,12.606103160989646,0.0183424671942757,1.412347334784945,12.603458548954444
3700,2.7453530866064636e-06,12.805600862274247,0.01684342081651268,1.4125237503306136,12.803206704813842
3800,2.248727552543053e-06,13.005146033924685,0.015463174745258795,1.4126835896203895,13.00297871566779
3900,1.8418607543998648e-06,13.204734217776936,0.01419275587637383,1.4128283921714824,13.202772331410628
4000,1.5085503983694335e-06,13.404361369313449,0.0130238136018256,1.4129595577451426,13.40258551247624
4100,1.2355135798635205e-06,13.6040238201872,0.011948583963292462,1.4130783584550792,13.602416410442752
4200,1.011862117431696e-06,13.803718243978686,0.01095985480782688,1.4131859499313109,13.802263350369433
4300,8.286718281221464e-07,14.003441624936377,0.01005093210027696,1.4132833815937784,14.002124814720872
4400,6.786290142523915e-07,14.20319122946492,0.009215607507235688,1.4133716060907877,14.201999428743868
4500,5.557403878103249e-07,14.402964580139535,0.008448127333365927,1.4134514879570952,14.401885947172422
4600,4.550950985468927e-07,14.602759432039178,0.007743162862374652,1.413523811545406,14.601783242145709
