method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,log_sigma_output_finite,log_sigma_output_finite_ci_low,log_sigma_output_finite_ci_high,sigma_output_finite,sigma_output_finite_ci_low,sigma_output_finite_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,task_failure_onset,task_failure_onset_ci_low,task_failure_onset_ci_high,unexpected_support_expansion,unexpected_support_expansion_ci_low,unexpected_support_expansion_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,support_boundary_onset_event_rate,n
baseline,39.5,36.95,41.95125000000001,2.2246353978516707e-06,2.0996841935527755e-06,2.3514265109270126e-06,-4.618310785293579,-4.62248741209507,-4.613593851923943,3.261054849624634,3.2582312422990802,3.2636897963285447,3.9561574816703797,3.9532915189862248,3.958833129107952,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,100.0,100.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,1.0,0.0,20
near_zero,39.5,36.95,41.95125000000001,2.17606851151686e-06,2.053808321420547e-06,2.3013711519581647e-06,-4.621055722236633,-4.625113922953605,-4.616449869275093,3.262676453590393,3.2598791387677193,3.265273847579956,3.9578300952911376,3.95498376339674,3.9604357445240024,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,100.0,100.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,1.0,0.0,20
far_zero,39.5,36.95,41.95125000000001,0.7393616884946823,0.7389015302062034,0.7398365476727485,0.1683279551565647,0.16747536174952982,0.16921017715707423,0.12025382034480572,0.11969003599137068,0.12082855539396405,0.5826487958431243,0.5820281012356281,0.583248058333993,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
far_cap,39.5,36.95,41.95125000000001,0.733071705698967,0.7325935684889555,0.7335626026988029,0.15658691227436067,0.15570113711059094,0.15749410020187496,0.11217185631394386,0.11158811810426414,0.1127645421680063,0.5908509999513626,0.5902118779718877,0.5914716318249702,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
global_scale,39.5,36.95,41.95125000000001,0.5990572392940521,0.5986343158781529,0.5994747536629439,-0.08417700827121735,-0.0849188916478306,-0.08343340868130326,0.0633436381816864,0.06284402786288411,0.06385471259243786,0.7592496275901794,0.7587325915694236,0.759774269387126,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
far_to_near,39.5,36.95,41.95125000000001,0.8753230214118958,0.874994036629796,0.875616224706173,0.45048776268959045,0.44971384316682816,0.4512036782130599,0.31676824688911437,0.3162517306953669,0.31726393789052965,0.38597975969314574,0.38547481324523686,0.38653161659836766,0.19039438664913177,0.19039438664913177,0.19039438664913177,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,-1.6586579084396362,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
