method,seed,seed_ci_low,seed_ci_high,reward,reward_ci_low,reward_ci_high,normalized_extrapolation_displacement,normalized_extrapolation_displacement_ci_low,normalized_extrapolation_displacement_ci_high,distance_to_a_plus,distance_to_a_plus_ci_low,distance_to_a_plus_ci_high,distance_to_a_star,distance_to_a_star_ci_low,distance_to_a_star_ci_high,sigma_mean,sigma_mean_ci_low,sigma_mean_ci_high,sigma_min,sigma_min_ci_low,sigma_min_ci_high,sigma_max,sigma_max_ci_low,sigma_max_ci_high,log_sigma_min,log_sigma_min_ci_low,log_sigma_min_ci_high,log_sigma_max,log_sigma_max_ci_low,log_sigma_max_ci_high,log_sigma_output_finite,log_sigma_output_finite_ci_low,log_sigma_output_finite_ci_high,sigma_output_finite,sigma_output_finite_ci_low,sigma_output_finite_ci_high,task_failure_threshold,task_failure_threshold_ci_low,task_failure_threshold_ci_high,support_boundary_onset,support_boundary_onset_ci_low,support_boundary_onset_ci_high,unexpected_support_expansion,unexpected_support_expansion_ci_low,unexpected_support_expansion_ci_high,finite_parameters,finite_parameters_ci_low,finite_parameters_ci_high,steps_completed,steps_completed_ci_low,steps_completed_ci_high,task_failure_onset_event_rate,support_boundary_onset_event_rate,n
baseline,39.5,36.95,41.95125000000001,0.6032536745071411,0.5938967512547969,0.612490526214242,-0.07221834184601902,-0.08907407707069069,-0.0557419829419814,0.09910729117691516,0.09264908980578185,0.10572626973502337,0.7541057348251343,0.7425949308276177,0.7658359033614398,0.0012413639487931505,0.0010678486702818191,0.0014183280769066188,6.88531362698086e-06,4.477564036875492e-06,9.68286890838499e-06,0.0059225049219094215,0.005269742353120818,0.006614794077468104,-12.233285617828368,-12.58970941543579,-11.863694463968278,-5.168695044517517,-5.291829469799995,-5.045387071967125,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,72.9,72.05,73.75,0.0,0.0,0.0,1.0,1.0,1.0,72.9,72.05,73.75,0.0,1.0,20
near_zero,39.5,36.95,41.95125000000001,0.6019915044307709,0.5927847389876842,0.6111193477362394,-0.0742649300955236,-0.09060278363293037,-0.058118495719973,0.10079955235123635,0.09370564782992005,0.107831209609285,0.755681324005127,0.7442984557151794,0.7671701526641845,0.0012307702505495398,0.001059223549309536,0.0014080797293718206,6.689278939120413e-06,4.3756376702219766e-06,9.38475969235242e-06,0.0058782104053534566,0.005225912662281189,0.006571906061726623,-12.24695873260498,-12.591602454185486,-11.88777560710907,-5.175464463233948,-5.297621020078659,-5.0518858468532555,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,73.1,72.25,73.95,0.0,0.0,0.0,1.0,1.0,1.0,73.1,72.25,73.95,0.0,1.0,20
far_zero,39.5,36.95,41.95125000000001,0.6528868049383163,0.6519451693445444,0.6538414777815342,0.011108478135429322,0.009431700459099376,0.012810441662441009,0.023808719497174023,0.023221662379801274,0.02444170684553683,0.6925140202045441,0.6913244434446096,0.6936871711909771,0.17407314255833625,0.17396487096324564,0.17418474446982146,0.15896495729684829,0.1572088133729994,0.16062554500997064,0.18387359380722046,0.18314272126182915,0.18459256444126368,-1.8393866658210754,-1.8506119385361672,-1.8289066730439663,-1.6935487985610962,-1.6975337429344652,-1.6896344980597497,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
far_cap,39.5,36.95,41.95125000000001,0.6526254385709762,0.6516614080220461,0.6536191026866437,0.010643603838980198,0.008922668285667897,0.012414592782733961,0.02371935350820422,0.023129458620678636,0.024356193414423615,0.6928393512964248,0.6916029903292655,0.6940399208664894,0.17381681874394417,0.1736909259483218,0.1739421755820513,0.15837131440639496,0.15659369831904768,0.16004739360883832,0.18346137851476668,0.18266830798238518,0.18421806117519735,-1.8431339800357818,-1.8544635872542856,-1.8325045529007913,-1.6957999229431153,-1.7001265494525433,-1.6916794650256635,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
global_scale,39.5,36.95,41.95125000000001,0.6428674846887589,0.6418588138371706,0.6439274983853103,-0.006689242232823744,-0.008488993822975317,-0.004798182945960434,0.023158871475607155,0.022802553374785928,0.023547372210305183,0.7049744069576264,0.7036568991839885,0.706228849068284,0.17338308990001677,0.17316775530576706,0.17360538052394986,0.1541442170739174,0.15194687210023403,0.1561156826466322,0.18517221212387086,0.18437594428658485,0.18601207502186298,-1.8703626692295074,-1.8849574564397336,-1.8574638144671918,-1.6865232944488526,-1.6908206337690355,-1.682006933093071,1.0,1.0,1.0,1.0,1.0,1.0,0.29099748685956006,0.29052044576033953,0.2914715896993876,,,,0.0,0.0,0.0,1.0,1.0,1.0,2000.0,2000.0,2000.0,0.0,0.0,20
