embedding_mode,method,n,expected_semantic_reward_mean,hidden_optimal_probability_mean,positive_support_probability_mean,normalized_semantic_extrapolation_mean,effective_support_mean,concentration_mean,support_event_count,numerical_failure_count
aligned,positive_only,5,0.867217218875885,0.1540825307369232,0.6451437711715698,-0.18396912515163422,7.80999116897583,9.807147216796874,0,0
aligned,local_only,5,0.939140522480011,0.47321500778198244,0.3423309624195099,0.9538548231124878,1.2802495002746581,155.2873962402344,5,0
aligned,uncontrolled,5,0.9342795848846436,0.40178278684616087,0.5757274150848388,0.321896904706955,1.2700801849365235,153.98407287597655,5,0
aligned,far_cap,5,0.9395107388496399,0.45379050970077517,0.514160943031311,0.4792027473449707,1.3224861860275268,140.48031616210938,5,0
shuffled,positive_only,5,0.5204951167106628,0.021312228962779046,0.09715826362371445,0.07858245223760604,49.559112548828125,1.5602752685546875,0,0
shuffled,local_only,5,0.5334945797920227,0.024166733771562577,0.12065504789352417,0.12904624342918397,23.610828399658203,10.344123458862304,1,0
shuffled,uncontrolled,5,0.5562986493110657,0.027279453352093697,0.1237126961350441,0.08343512192368507,1.2249357223510742,157.70159912109375,5,0
shuffled,far_cap,5,0.5409655213356018,0.026045355200767516,0.13251479715108871,0.08366914931684732,1.2614867448806764,136.47806091308593,5,0
