method,n,expected_semantic_reward_mean,reward_delta_vs_positive_only_mean,hidden_optimal_probability_mean,hidden_probability_delta_vs_positive_only_mean,positive_support_probability_mean,normalized_semantic_extrapolation_mean,effective_support_mean,effective_support_p05_mean,concentration_mean,concentration_max_mean,support_event_count,task_collapse_count,numerical_failure_count
positive_only,5,0.867217218875885,0.0,0.1540825307369232,0.0,0.6451437711715698,-0.18396912515163422,7.80999116897583,5.287901115417481,9.807147216796874,12.40310115814209,0,0,0
local_only,5,0.939140522480011,0.07192330360412598,0.47321500778198244,0.3191324770450592,0.3423309624195099,0.9538548231124878,1.2802495002746581,1.000000262260437,155.2873962402344,164.17622985839844,5,0,0
uncontrolled,5,0.9342795848846436,0.06706236600875855,0.40178278684616087,0.24770025610923768,0.5757274150848388,0.321896904706955,1.2700801849365235,1.0000002145767213,153.98407287597655,155.61196899414062,5,0,0
near_zero,5,0.911883533000946,0.04466631412506104,0.23588594794273376,0.08180341720581055,0.7559639811515808,-0.08114485675469041,1.270753598213196,1.0000001668930054,155.18990783691407,156.47808227539062,5,0,0
far_zero,5,0.939140522480011,0.07192330360412598,0.47321500778198244,0.3191324770450592,0.3423309624195099,0.9538548231124878,1.2802495002746581,1.000000262260437,155.2873962402344,164.17622985839844,5,0,0
far_cap,5,0.9395107388496399,0.07229351997375488,0.45379050970077517,0.29970797896385193,0.514160943031311,0.4792027473449707,1.3224861860275268,1.0000016212463378,140.48031616210938,142.08715209960937,5,0,0
budget_matched_global,5,0.9241456270217896,0.05692840814590454,0.3218442499637604,0.16776171922683716,0.6594221591949463,0.15571050345897675,1.3159911155700683,1.000001883506775,134.2728698730469,136.0549285888672,5,0,0
