alpha,method,n,expected_semantic_reward_mean,reward_delta_vs_positive_only_mean,hidden_optimal_probability_mean,hidden_probability_delta_vs_positive_only_mean,normalized_semantic_extrapolation_mean,support_event_count,numerical_failure_count,provisional_plateau_count,persistent_or_inconclusive_count
0.0,positive_only,5,0.8568169116973877,0.0,0.14408883452415466,0.0,-0.17861919701099396,0,0,0,5
0.1,local_only,5,0.8682748436927795,0.011457931995391846,0.16571184694767,0.02162301242351532,-0.004492951044812799,0,0,0,5
0.25,local_only,5,0.8827299237251282,0.02591301202774048,0.19828735291957855,0.05419851839542389,0.3206175446510315,0,0,0,5
0.5,local_only,5,0.8882276892662049,0.03141077756881714,0.21612542271614074,0.07203658819198608,0.9814317107200623,0,0,0,5
0.75,local_only,5,0.8499974250793457,-0.006819486618041992,0.14523199200630188,0.0011431574821472168,1.6190839767456056,0,0,0,5
1.0,local_only,5,0.7609370470046997,-0.09587986469268799,0.053274430334568024,-0.09081440418958664,2.0758488178253174,0,0,0,5
