method,aligned_minus_shuffled_reward_mean,aligned_minus_shuffled_hidden_probability_mean,aligned_minus_shuffled_extrapolation_mean
positive_only,0.34672210216522215,0.13277030177414417,-0.2625515773892403
local_only,0.40564594268798826,0.44904827401041986,0.8248085796833038
uncontrolled,0.37798093557357787,0.37450333349406717,0.23846178278326988
far_cap,0.3985452175140381,0.4277451545000076,0.3955335980281234
