seed,protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,completed_steps,terminal_class,task_performance_collapse,support_or_temperature_boundary,nan_inf_numerical_failure,final_hidden_optimal_probability,final_positive_support_probability,final_expected_semantic_reward,final_normalized_semantic_extrapolation,final_entropy_mean,final_effective_support_mean,final_effective_support_p05,final_concentration_mean,final_concentration_min,final_concentration_max
10,E6-A,aligned,fixed,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.12676294147968292,0.6212484836578369,0.8554785847663879,-0.22651252150535583,2.204357624053955,9.23767375946045,6.681253910064697,8.0,8.0,8.0
10,E6-A,aligned,fixed,local_only,0.25,0.0,8000,formal_terminal_plateau,False,False,False,0.1627289205789566,0.5562465786933899,0.8738840818405151,0.3198990225791931,2.196920156478882,9.176351547241211,6.500575065612793,8.0,8.0,8.0
10,E6-A,aligned,fixed,local_only,0.5,0.0,8000,formal_terminal_plateau,False,False,False,0.1614263653755188,0.3784449100494385,0.8646929264068604,0.919535756111145,2.2580904960632324,9.816213607788086,6.517890453338623,8.0,8.0,8.0
10,E6-A,aligned,fixed,local_only,0.75,0.0,8000,formal_terminal_plateau,False,False,False,0.09962873160839081,0.1584099531173706,0.8107249736785889,1.4664185047149658,2.28714919090271,10.145193099975586,6.329493999481201,8.0,8.0,8.0
10,E6-B,aligned,learnable,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.13395899534225464,0.7003353834152222,0.868440568447113,-0.20687107741832733,1.898693561553955,6.8316826820373535,5.02082633972168,11.605051040649414,4.367690563201904,20.26055145263672
10,E6-B,aligned,learnable,far_zero,0.1,0.05,8000,formal_persistent_drift_or_inconclusive,False,False,False,0.17144933342933655,0.7274560332298279,0.8875226378440857,0.05662497133016586,1.4472285509109497,4.840886116027832,2.2329261302948,27.447834014892578,0.052009955048561096,93.3327865600586
10,E6-B,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23650160431861877,0.7446310520172119,0.9082878232002258,0.0474274568259716,0.15517662465572357,1.2158098220825195,1.0,484.3783874511719,307.77593994140625,526.9955444335938
10,E6-B,aligned,learnable,near_zero,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.17168521881103516,0.8059919476509094,0.8959974050521851,-0.09262950718402863,0.22243516147136688,1.638145089149475,1.0,419.1761169433594,0.05000000074505806,516.9301147460938
10,E6-B,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.234025776386261,0.7499749064445496,0.9084655046463013,0.04954454302787781,0.17089992761611938,1.2432655096054077,1.0,484.4186706542969,307.5025329589844,527.0570068359375
10,E6-B,aligned,learnable,budget_matched_global,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23717595636844635,0.740462601184845,0.9084426760673523,0.046561822295188904,0.15279492735862732,1.2101142406463623,1.0,484.3564147949219,306.57794189453125,527.0098266601562
10,E6-C,aligned,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.13395899534225464,0.7003353834152222,0.868440568447113,-0.20687107741832733,1.898693561553955,6.8316826820373535,5.02082633972168,11.605051040649414,4.367690563201904,20.26055145263672
