comparison,mean_difference,ci_low,ci_high,wins,ties,n,wilcoxon_p,sign_test_p
far_zero - baseline,0.4168509535491466,0.3722830056585371,0.4605065786838531,20,0,20,1.9073486328125e-06,1.9073486328125e-06
far_cap - baseline,0.4649720244109631,0.4233788495790213,0.5045663122832773,20,0,20,1.9073486328125e-06,1.9073486328125e-06
near_zero - baseline,-0.0061096582561731,-0.0199909649509936,0.0026995980739593,11,0,20,0.6215133666992188,0.8238029479980469
global_scale - baseline,0.5620029710233212,0.5189908797387034,0.6027713670674711,20,0,20,1.9073486328125e-06,1.9073486328125e-06
far_zero - near_zero,0.4229606118053198,0.3797251002211123,0.4639472913369535,20,0,20,1.9073486328125e-06,1.9073486328125e-06
far_cap - near_zero,0.4710816826671362,0.4296928453352302,0.5094264229759574,20,0,20,1.9073486328125e-06,1.9073486328125e-06
global_scale - far_cap,0.097030946612358,0.0844666102528572,0.1094123476743697,20,0,20,1.9073486328125e-06,1.9073486328125e-06
far_to_near - baseline,0.0839077699929476,-0.0085778804961591,0.1872234355844554,11,0,20,0.4523754119873047,0.8238029479980469
