method,n,initial_reward,final_reward,final_ci_low,final_ci_high,retention,ret_ci_low,ret_ci_high,collapse_count,collapse_rate,collapse_ci_low,collapse_ci_high,final_mu_r,final_sigma_r,final_far_dr
baseline,20,0.7690629482269287,0.2009881533682345,0.1647826350666582,0.2392750428989528,0.262792962498285,0.2152241781783921,0.3138604044993314,19,0.95,0.7638688065532648,0.9911185511992042,5.760251927375793,0.3469341278076172,35.43197727203369
far_cap,20,0.7690629482269287,0.6659601777791977,0.6528382642567158,0.6796712730824946,0.8666926925025079,0.8462491369125767,0.8880876632058388,0,0.0,1.3877787807814457e-17,0.1611251580528119,0.5328058436512947,0.4084991917014122,17.254093074798583
far_to_near,20,0.7690629482269287,0.2848959233611822,0.2019673341419547,0.3730207996442912,0.3711004711389755,0.2639364967570309,0.4880344459657944,13,0.65,0.4328542766852419,0.8188081758989145,0.8940348476171494,0.4659520104527473,15.884552001953123
far_zero,20,0.7690629482269287,0.6178391069173813,0.5965522191673517,0.6388748548179864,0.8045231073259143,0.7722860462510795,0.8351634619143249,0,0.0,1.3877787807814457e-17,0.1611251580528119,0.1733857482671737,0.4126535236835479,16.186064434051513
global_scale,20,0.7690629482269287,0.7629911243915558,0.752763768285513,0.77279930151999,0.9925758961341932,0.9790125354802344,1.0071212897023791,0,0.0,1.3877787807814457e-17,0.1611251580528119,0.2102083638310432,0.4023858353495598,16.69460334777832
near_zero,20,0.7690629482269287,0.1948784951120615,0.1611805288679897,0.231173054613173,0.2544323359511587,0.2103533668465017,0.3025454123159252,18,0.9,0.6989663547715196,0.9721335187862308,5.778137755393982,0.3468495041131973,35.49582366943359
positive_only,20,0.7690629482269287,0.7822924107313156,0.7712206026166678,0.7935152439773082,1.0176723157196732,1.0028439307460486,1.0336392972841006,0,0.0,1.3877787807814457e-17,0.1611251580528119,0.0105784348212182,0.4088053315877914,15.9002601146698
