experiment_id,seed,alpha,branch,optimizer,steps_completed,stop_reason,support_boundary_onset,support_event_type,nan_inf_numerical_failure,task_performance_collapse,finite_mean_fixed_point,analytic_normalized_extrapolation_displacement,analytic_reward,analytic_sigma,finite_variance_fixed_point,reward,normalized_extrapolation_displacement,distance_to_a_plus,distance_to_a_star,sigma_mean,sigma_min,sigma_max,log_sigma_min,log_sigma_max,log_sigma_output_finite,sigma_output_finite,positive_gradient_norm,negative_gradient_norm,total_gradient_norm,normalized_field_residual,negative_raw_distance_mean,negative_standardized_distance_mean,dynamic_near_occupancy,dynamic_far_occupancy,local_negative_raw_distance,local_negative_standardized_distance,farthest_negative_raw_distance,farthest_negative_standardized_distance,terminal_state,scientific_role_at_window_1_start,final_scientific_role,scientific_role_not_reversed,window_1_displacement_change,window_2_displacement_change,window_2_reward_change,window_1_raw_gradient_median,window_2_raw_gradient_median,window_2_over_window_1_raw_gradient_ratio,window_1_adam_update_median,window_2_adam_update_median,window_2_over_window_1_adam_update_ratio,strict_residual_gate_used_for_acceptance
C-U1-E4-CONV-01,50,0.75,fixed_variance,adam,4000,completed,,,False,False,True,0.567859686860304,0.9218821060593873,nan,False,0.9215016961097717,0.5694779753684998,0.3994283676147461,0.30247029662132263,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,6.70880651473999,6.668039798736572,0.05485966056585312,0.004101090741438841,1.2189191579818726,6.40207576751709,0.125244140625,0.874755859375,0.900328516960144,4.728756904602051,1.499926209449768,7.877997875213623,terminal_state_inconclusive,beneficial_extrapolation,beneficial_extrapolation,True,0.002716243267059326,0.005924820899963379,0.0021728873252868652,0.030181648209691048,0.04433634504675865,1.4689835604313572,0.0038114457856863737,0.004529750440269709,1.1884598902812364,False
C-U1-E4-CONV-01,50,1.0,fixed_variance,adam,4000,completed,,,False,False,True,1.0301326151320167,0.9996046048538051,nan,False,0.998115599155426,1.0275307893753052,0.7198961973190308,0.03731505572795868,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,12.966785430908203,12.984718322753906,0.044585034251213074,0.001718013517614362,1.2002564668655396,6.304056167602539,0.0,1.0,1.2201182842254639,6.408374309539795,1.1802423000335693,6.198936462402344,stable_beneficial_extrapolation,beneficial_extrapolation,beneficial_extrapolation,True,0.003034234046936035,-0.004702210426330566,0.0003654360771179199,0.03835369274020195,0.044585034251213074,1.162470444585887,0.0034529773984104395,0.003882913151755929,1.124511603679598,False
C-U1-E4-CONV-01,50,1.25,fixed_variance,adam,4000,completed,,,False,False,True,2.013697005876493,0.6391801859207819,nan,False,0.6404464244842529,2.0096375942230225,1.4073357582092285,0.7079153656959534,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,30.8634090423584,30.87421226501465,0.030704928562045097,0.0004973455068696929,1.3071117401123047,6.8652873039245605,0.37322998046875,0.62677001953125,1.9086050987243652,10.024484634399414,0.49274298548698425,2.5880126953125,stable_over_extrapolation,over_extrapolation,over_extrapolation,True,-0.0033104419708251953,0.0024824142456054688,-0.0010643601417541504,0.026498539373278618,0.030704928562045097,1.1587404169532545,0.003077506786212325,0.003089604899287224,1.0039311409902003,False
C-U1-E4-CONV-01,51,0.75,fixed_variance,adam,4000,completed,,,False,False,True,0.567859686860304,0.9218821060593873,nan,False,0.9219534397125244,0.5704030394554138,0.4000096321105957,0.3016431927680969,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,6.96416711807251,6.9236063957214355,0.08643889427185059,0.006224100226432226,1.219051718711853,6.402772903442383,0.125274658203125,0.874725341796875,0.8992124795913696,4.722894668579102,1.5010361671447754,7.883828639984131,terminal_state_inconclusive,beneficial_extrapolation,beneficial_extrapolation,True,0.0011409521102905273,0.0031808018684387207,0.0011568069458007812,0.028930600732564926,0.0389825701713562,1.3474511135013023,0.0033801121171563864,0.00373014691285789,1.103557155375065,False
C-U1-E4-CONV-01,51,1.0,fixed_variance,adam,4000,completed,,,False,False,True,1.0301326151320167,0.9996046048538051,nan,False,0.9982600212097168,1.0307343006134033,0.7220708131790161,0.0365680493414402,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,13.548169136047363,13.538552284240723,0.026480505242943764,0.00097761943322933,1.200258731842041,6.304067611694336,0.0,1.0,1.222109317779541,6.418832778930664,1.1782212257385254,6.188321113586426,stable_beneficial_extrapolation,beneficial_extrapolation,beneficial_extrapolation,True,0.0026454925537109375,-0.0002720355987548828,0.00025647878646850586,0.03623814508318901,0.026480505242943764,0.7307356704421428,0.002952528651803732,0.00325886276550591,1.1037531383531316,False
C-U1-E4-CONV-01,51,1.25,fixed_variance,adam,4000,completed,,,False,False,True,2.013697005876493,0.6391801859207819,nan,False,0.639003574848175,2.0123064517974854,1.4091863632202148,0.7097318768501282,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,32.1319465637207,32.1431770324707,0.029841428622603416,0.00046427648758922335,1.3071560859680176,6.865519046783447,0.373809814453125,0.626190185546875,1.9089531898498535,10.026312828063965,0.492224782705307,2.5852909088134766,stable_over_extrapolation,over_extrapolation,over_extrapolation,True,0.005546092987060547,-0.00472569465637207,0.0029834508895874023,0.03520487621426582,0.03557062894105911,1.0103892632533977,0.002752478700131178,0.003353252774104476,1.2182665660390637,False
C-U1-E4-CONV-01,52,0.75,fixed_variance,adam,4000,completed,,,False,False,True,0.567859686860304,0.9218821060593873,nan,False,0.9209781289100647,0.5674645304679871,0.3978694975376129,0.30365100502967834,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,6.458212852478027,6.451291084289551,0.019564209505915642,0.0015154888678714656,1.219248652458191,6.403807640075684,0.125152587890625,0.874847412109375,0.8975405693054199,4.714113235473633,1.5026650428771973,7.892382621765137,stable_beneficial_extrapolation,beneficial_extrapolation,beneficial_extrapolation,True,-0.00555342435836792,0.0021839141845703125,0.0008507966995239258,0.045375384390354156,0.044897470623254776,0.9894675544125864,0.0035292122047394514,0.003845344064757228,1.0895757584633865,False
C-U1-E4-CONV-01,52,1.0,fixed_variance,adam,4000,completed,,,False,False,True,1.0301326151320167,0.9996046048538051,nan,False,0.9985049962997437,1.0277668237686157,0.7199178338050842,0.03372675180435181,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,12.797719955444336,12.814122200012207,0.021161021664738655,0.0008262202123649089,1.2002203464508057,6.303865432739258,0.0,1.0,1.2197145223617554,6.406254768371582,1.1805641651153564,6.200625896453857,stable_beneficial_extrapolation,beneficial_extrapolation,beneficial_extrapolation,True,-0.003473997116088867,-0.001869797706604004,0.0002353191375732422,0.03798229619860649,0.028044480830430984,0.7383566460486897,0.003084902884438634,0.0033727094996720552,1.0932951946997171,False
C-U1-E4-CONV-01,52,1.25,fixed_variance,adam,4000,completed,,,False,False,True,2.013697005876493,0.6391801859207819,nan,False,0.641140878200531,2.0087623596191406,1.4066128730773926,0.7070775628089905,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,30.494840621948242,30.531620025634766,0.04779886081814766,0.0007832481240256882,1.3063446283340454,6.861258506774902,0.37396240234375,0.62603759765625,1.9063847064971924,10.012822151184082,0.49461284279823303,2.5978336334228516,stable_over_extrapolation,over_extrapolation,over_extrapolation,True,0.006899356842041016,-0.0062792301177978516,0.003724396228790283,0.02983781509101391,0.02983781509101391,1.0,0.0028002720791846514,0.0028848452493548393,1.030201768891976,False
C-U1-E4-CONV-01,53,0.75,fixed_variance,adam,4000,completed,,,False,False,True,0.567859686860304,0.9218821060593873,nan,False,0.9201501607894897,0.5648946166038513,0.3960418403148651,0.3053811192512512,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,6.84066915512085,6.864917278289795,0.027137715369462967,0.0019800477346453645,1.2194912433624268,6.405081272125244,0.1251220703125,0.8748779296875,0.8955685496330261,4.703756332397461,1.5046132802963257,7.902615547180176,terminal_state_inconclusive,beneficial_extrapolation,beneficial_extrapolation,True,-0.0032938122749328613,-0.002644658088684082,-0.0008268356323242188,0.03233984857797623,0.042489565908908844,1.313845542797151,0.0036597209982573986,0.003618658520281315,0.9887798884134512,False
C-U1-E4-CONV-01,53,1.0,fixed_variance,adam,4000,completed,,,False,False,True,1.0301326151320167,0.9996046048538051,nan,False,0.9983004331588745,1.0276342630386353,0.7199434041976929,0.036189187318086624,0.19039438664913177,0.1903943419456482,0.1903943419456482,-1.6586579084396362,-1.6586579084396362,True,True,13.37022590637207,13.370621681213379,0.0718085989356041,0.0026853523883416043,1.2002454996109009,6.30399751663208,0.0,1.0,1.2198281288146973,6.406850814819336,1.1805219650268555,6.200405120849609,stable_beneficial_extrapolation,beneficial_extrapolation,beneficial_extrapolation,True,-0.008884787559509277,0.004413962364196777,8.487701416015625e-05,0.03173233941197395,0.030116021633148193,0.9490640208450608,0.0030679060146212578,0.003577058669179678,1.1659609688601482,False
