grid_index,relative_distance,relative_gradient_mean,relative_gradient_ci_low,relative_gradient_ci_high,n_datasets,n_seeds_per_dataset
0,1.0,1.0,1.0,1.0,9,10
1,1.3379046712798623,1.3542313012483158,1.336498634549107,1.3749486748968478,9,10
2,1.6758093425597245,1.7084626024966314,1.6729972690982136,1.7498973497936947,9,10
3,2.0137140138395866,2.0627946235365227,2.009594772326001,2.124941807497224,9,10
4,2.351618685119449,2.416411132842123,2.3456866228019617,2.499142162035652,9,10
5,2.6895233563993113,2.7943090115722278,2.7095172370059797,2.8813361574394425,9,10
6,3.027428027679173,3.1993403973175556,3.0819434039324825,3.3110881639991296,9,10
7,3.3653326989590355,3.564099128960727,3.418373351978828,3.703208504811672,9,10
