dataset_id,distance_bin,relative_distance,relative_gradient_mean,relative_gradient_ci_low,relative_gradient_ci_high,relative_abs_advantage_mean,relative_abs_advantage_ci_low,relative_abs_advantage_ci_high,n_seeds,n_pairs
halfcheetah-medium-expert-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-expert-v2,0,2.1816570104249435,2.1994081204482425,2.079122237860828,2.3402012132389047,1.000002159838759,0.9999686854685419,1.0000370887030272,10,92
halfcheetah-medium-expert-v2,1,2.3087090154618664,2.3097316603401916,2.193233138298955,2.4300858043412004,1.0000539518335323,0.9999294796125916,1.0002424315315699,10,91
halfcheetah-medium-expert-v2,2,2.393199258548665,2.484616202653053,2.394539082199872,2.5860396346615473,1.0000350401752507,0.9999929951646074,1.000086267109913,10,91
halfcheetah-medium-expert-v2,3,2.6488599931976133,2.737475833756749,2.622383326686054,2.8580101888133895,0.9999671074458341,0.9999025982833714,1.0000158374783144,10,92
halfcheetah-medium-expert-v2,4,2.8114385654283884,2.97077007871532,2.7556597124172444,3.2036474579725356,1.0000337572836266,1.000003341097141,1.000069114342409,10,91
halfcheetah-medium-expert-v2,5,2.9472034058775924,3.0328727023035715,2.8834525493337657,3.1715516745838594,0.9999994603998829,0.9999816681746405,1.000012033488765,10,91
halfcheetah-medium-expert-v2,6,3.627842508122371,3.921587514038979,3.5991443480360124,4.223193990546997,0.9998939513437719,0.9996871738004567,1.000000016173486,10,92
halfcheetah-medium-replay-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-replay-v2,0,2.6503618423845667,2.8493141388168697,2.724905810189357,2.9815709708274385,1.0002401100641005,1.0000039066552682,1.0006070312756579,10,92
halfcheetah-medium-replay-v2,1,2.839624991379845,3.1388778676335987,2.937678008540936,3.329406983994786,0.9998687366491682,0.9995908474404812,1.0000705301558646,10,91
halfcheetah-medium-replay-v2,2,3.320551084121469,3.7522376876357364,3.430397445191858,4.126281990348609,1.0002616689897148,0.9999977618762366,1.0006392296690956,10,91
halfcheetah-medium-replay-v2,3,3.4595578705938244,3.9195542864782262,3.636519091266456,4.229898235844541,1.0001934925978324,0.9998879061887168,1.0006337913527465,10,92
halfcheetah-medium-replay-v2,4,3.8622824743363124,4.348628084414342,4.088139365181137,4.614152042735536,1.001014281288753,0.9998937462685905,1.0026815473098316,10,91
halfcheetah-medium-replay-v2,5,4.3389536011285,5.145855164292832,4.697425288348056,5.680948046596576,0.9998390911981356,0.9996053126958026,1.0000241815200193,10,91
halfcheetah-medium-replay-v2,6,5.533452044947581,6.798146464071927,6.083179499962009,7.546757799253892,1.0000025941290542,0.999748231086217,1.0002426647420128,10,92
halfcheetah-medium-v2,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,640
halfcheetah-medium-v2,0,2.177399662056222,2.240151900083886,2.118830753979813,2.379239367609735,1.0001640098905409,1.000001287149212,1.0004236554102102,10,92
